Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,12.900700,12.982700,12.842700,12.980700,10.057323,1544658
2012-10-02,12.932700,13.296600,12.906700,13.286600,10.294333,2265231
2012-10-03,13.330600,13.330600,13.132700,13.196600,10.224599,490050
2012-10-04,13.192600,13.358600,13.182700,13.356600,10.348568,791581
2012-10-05,13.260600,13.476600,13.260600,13.450600,10.421398,1409644
2012-10-08,13.382600,13.800600,13.358600,13.800600,10.692575,881590
2012-10-09,13.742600,13.844600,13.322600,13.374600,10.362514,1283631
2012-10-10,13.372600,16.452299,13.296600,13.438600,10.412101,522553
2012-10-11,13.436600,13.498600,13.376600,13.482600,10.446192,518553
2012-10-15,13.482600,13.796600,13.330600,13.790600,10.684827,628564
2012-10-16,13.746600,13.836600,13.598600,13.796600,10.689477,1242127
2012-10-17,13.756600,13.868600,13.670600,13.868600,10.745261,701072
2012-10-18,13.798600,14.064600,13.698600,14.064600,10.897121,785080
2012-10-19,14.064600,14.088600,13.686600,13.814600,10.703422,1113614
2012-10-22,13.758600,13.848600,13.702600,13.786600,10.681727,782080
2012-10-23,13.686600,13.798600,13.636600,13.678600,10.598052,876589
2012-10-24,13.918600,13.950600,13.518600,13.594600,10.532966,730575
2012-10-25,13.734600,13.784600,13.412600,13.640600,10.568609,709072
2012-10-26,13.518600,13.700600,13.454600,13.700600,10.615095,1533156
2012-10-29,13.672600,13.872600,13.672600,13.872600,10.748360,560057
2012-10-30,13.848600,13.958600,13.742600,13.758600,10.660033,726074
2012-10-31,13.898600,14.062600,13.618600,13.658600,10.582556,1564160
2012-11-01,13.670600,13.796600,13.578600,13.796600,10.689477,1077610
2012-11-05,13.796600,13.868600,13.598600,13.848600,10.729768,1006603
2012-11-06,13.810600,13.836600,13.586600,13.836600,10.720468,611062
2012-11-07,13.814600,13.848600,13.538600,13.814600,10.703422,1364639
2012-11-08,13.764600,13.812600,13.558600,13.708600,10.621294,11298152
2012-11-09,13.732600,13.734600,13.410600,13.432600,10.407451,5964608
2012-11-12,13.448600,13.544600,13.442600,13.482600,10.446192,722574
2012-11-13,13.480600,13.738600,13.404600,13.618600,10.551560,4596969
2012-11-14,13.624600,13.712600,13.486600,13.636600,10.565508,1956700
2012-11-16,13.636600,14.748500,13.636600,14.538500,11.264292,10786600
2012-11-19,14.512500,14.896500,14.412500,14.780500,11.451791,3175324
2012-11-21,14.780500,14.998500,14.678500,14.998500,11.620698,3268833
2012-11-22,15.054500,15.054500,14.708500,14.972500,11.600553,2406245
2012-11-23,14.908500,15.118500,14.740500,15.118500,11.713671,3283335
2012-11-26,15.138500,15.138500,14.850500,15.088500,11.690429,2514756
2012-11-27,15.058500,15.092500,14.956500,15.044500,11.656337,3297336
2012-11-28,14.964500,15.028500,14.848500,14.992500,11.616046,2443749
2012-11-29,15.058500,15.058500,14.574500,14.796500,11.464190,5644076
2012-11-30,14.958500,15.558400,14.866500,15.538400,12.039007,68210457
2012-12-03,15.508400,15.876400,15.376400,15.868400,12.294687,4460455
2012-12-04,15.876400,15.878400,15.450400,15.518400,12.023509,2181222
2012-12-05,15.588400,15.660400,15.388400,15.598400,12.085493,1576661
2012-12-06,15.520400,15.652400,15.408400,15.594400,12.082394,1649168
2012-12-07,15.598400,15.616400,15.298400,15.318400,11.868553,1739677
2012-12-10,17.098301,17.548201,16.724300,17.048300,13.208860,12930319
2012-12-11,17.098301,17.398199,16.978300,17.316200,13.416430,3538361
2012-12-12,17.300200,17.358200,17.162300,17.358200,13.448972,4651974
2012-12-13,17.354200,17.494200,17.228201,17.418200,13.495457,3843892
2012-12-14,17.498199,17.498199,17.002300,17.218201,13.340501,2422247
2012-12-17,17.228201,17.310200,17.124300,17.196301,13.323531,2181222
2012-12-18,17.358200,17.386200,17.190300,17.318199,13.417976,1773681
2012-12-19,17.280199,17.498199,17.210199,17.438200,13.510954,1455648
2012-12-20,17.352200,17.376200,16.920300,16.926300,13.114338,1243127
2012-12-21,16.926300,17.202200,16.808300,16.994301,13.167026,1390142
2012-12-26,16.994301,17.090300,16.754299,16.768299,12.991920,1076610
2012-12-27,16.722300,16.870300,16.670300,16.778299,13.739997,1307633
2012-12-28,16.858299,16.916300,16.738300,16.738300,13.707242,2807786
2013-01-02,16.738300,17.050301,16.738300,16.806299,13.762929,1126115
2013-01-03,16.942301,17.114300,16.820299,17.104300,14.006964,1032105
2013-01-04,17.104300,17.104300,16.798300,16.822300,13.776032,1488652
2013-01-07,16.802299,17.018299,16.798300,17.016300,13.934899,1223125
2013-01-08,16.820299,17.036301,16.798300,16.996300,13.918524,1103113
2013-01-09,16.998301,17.258200,16.900299,17.258200,14.132997,3035310
2013-01-10,17.188200,17.222200,16.958300,17.222200,14.103516,1208623
2013-01-11,17.150200,17.220200,16.980301,17.018299,13.936537,1929197
2013-01-14,17.098301,17.104300,16.932301,17.098301,14.002052,1452648
2013-01-15,17.098301,17.258200,16.916300,17.152300,14.046274,1203623
2013-01-16,17.030300,17.702200,17.028299,17.576200,14.393412,1843188
2013-01-17,17.616199,17.908199,17.588200,17.748199,14.534263,1713175
2013-01-18,17.798201,17.950199,17.744200,17.938200,14.689859,736075
2013-01-21,17.874201,17.938200,17.696199,17.898199,14.657100,374538
2013-01-22,17.854200,18.028200,17.712200,17.898199,14.657100,3115818
2013-01-23,17.932199,17.998199,17.842199,17.998199,14.738995,602561
2013-01-24,17.994200,18.298100,17.936199,18.224100,14.923988,1494152
2013-01-28,18.224100,18.286100,17.604200,17.698200,14.493319,3074314
2013-01-29,17.798201,18.034201,17.632200,17.912201,14.668567,2180722
2013-01-30,17.908199,18.198099,17.714199,18.098200,14.820883,1721176
2013-01-31,18.106100,18.198099,17.800200,18.004200,14.743907,3407348
2013-02-01,18.000200,18.200100,17.804199,17.908199,14.665291,904592
2013-02-04,17.956200,18.196100,17.888201,18.134100,14.850285,1155618
2013-02-05,18.138300,18.138300,17.790400,18.024300,14.760367,1017594
2013-02-06,18.028299,18.076300,17.806400,18.014299,14.752179,762070
2013-02-07,18.096300,18.096300,17.634399,17.778400,14.558995,1427631
2013-02-08,17.788401,18.198299,17.546400,18.158300,14.870101,2021686
2013-02-13,18.158300,18.198299,17.962400,18.028299,14.763641,1086600
2013-02-14,17.996300,18.048300,17.908300,17.998301,14.739073,1921177
2013-02-15,17.978300,18.008301,17.818399,17.872400,14.635973,1163607
2013-02-18,17.814400,17.956400,17.740400,17.904400,14.662181,418539
2013-02-19,17.890400,18.118299,17.816401,17.978300,14.722696,787572
2013-02-20,18.076300,18.154301,17.920300,18.098301,14.820966,1102101
2013-02-21,18.018299,18.068300,17.508400,17.736401,14.524602,1793665
2013-02-22,17.862400,17.996300,17.532400,17.996300,14.737435,1695656
2013-02-25,17.990299,17.990299,17.244400,17.372400,14.226518,2404721
2013-02-26,17.394400,17.630400,16.978399,17.538401,14.362456,2297711
2013-02-27,17.616400,17.718399,17.086399,16.956400,13.885850,2086692
2013-02-28,17.002399,17.458401,16.866400,17.456400,14.852386,2546734
2013-03-01,17.486401,17.506399,17.148399,17.498400,14.888123,1001092
2013-03-04,17.418400,17.464399,17.286400,17.360399,14.770709,751069
2013-03-05,17.318399,17.590401,17.298401,17.330400,14.745183,623057
2013-03-06,17.498400,17.852400,17.478399,17.798401,15.143371,720066
2013-03-07,17.778400,17.998301,17.476400,17.528400,14.913648,1736160
2013-03-08,17.462400,17.726400,17.344400,17.598400,14.973206,1078099
2013-03-11,17.598400,17.760401,17.500401,17.508400,14.896628,602555
2013-03-12,17.496401,17.604401,17.208401,17.268400,14.692432,675562
2013-03-13,17.378401,17.390400,17.098400,17.104401,14.552896,679062
2013-03-14,17.056400,17.272400,17.036400,17.238400,14.666906,1849670
2013-03-15,17.198400,17.324400,16.838400,16.838400,14.326576,1970181
2013-03-18,16.986401,17.072399,16.716499,17.066401,14.520565,568552
