Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,24.190001,24.309999,23.260000,23.480000,23.480000,1762600
2017-09-26,23.480000,23.990000,23.469999,23.650000,23.650000,2141600
2017-09-27,23.889999,24.100000,23.000000,23.900000,23.900000,2323700
2017-09-28,23.670000,23.730000,23.129999,23.730000,23.730000,1672300
2017-09-29,23.900000,24.200001,23.690001,24.100000,24.100000,1713000
2017-10-02,24.299999,24.430000,23.840000,24.190001,24.190001,1716900
2017-10-03,24.420000,24.900000,24.049999,24.900000,24.900000,1460800
2017-10-04,24.990000,25.100000,24.490000,24.840000,24.840000,1773000
2017-10-05,25.000000,25.280001,24.410000,24.580000,24.580000,1992000
2017-10-06,24.290001,24.360001,23.889999,24.330000,24.330000,1677700
2017-10-09,24.480000,24.480000,23.389999,23.879999,23.879999,1742400
2017-10-10,23.950001,24.020000,23.440001,23.570000,23.570000,3333400
2017-10-11,23.389999,23.639999,23.170000,23.320000,23.320000,1896200
2017-10-12,23.320000,23.320000,23.320000,23.320000,23.320000,0
2017-10-13,23.889999,24.660000,23.860001,24.650000,24.650000,2811000
2017-10-16,25.100000,25.150000,24.160000,24.670000,24.670000,2193900
2017-10-17,24.700001,24.700001,23.900000,24.000000,24.000000,1836300
2017-10-18,24.250000,24.350000,23.379999,23.840000,23.840000,1958100
2017-10-19,23.530001,24.590000,23.280001,24.590000,24.590000,1677900
2017-10-20,24.900000,25.150000,24.440001,24.549999,24.549999,2235500
2017-10-23,24.650000,24.860001,24.190001,24.389999,24.389999,952900
