Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,14.240000,14.800000,14.140000,14.320000,11.361242,1958000
2012-10-02,14.470000,14.550000,14.070000,14.210000,11.273970,909100
2012-10-03,14.230000,14.530000,14.100000,14.400000,11.424713,1486600
2012-10-04,14.480000,14.690000,14.090000,14.280000,11.329507,1987600
2012-10-05,14.370000,14.690000,14.140000,14.190000,11.258101,1508600
2012-10-08,14.140000,14.370000,14.050000,14.200000,11.266036,1039600
2012-10-09,14.200000,14.240000,13.650000,13.750000,10.909014,2352300
2012-10-10,13.750000,13.830000,13.480000,13.540000,10.742403,1617000
2012-10-11,13.620000,13.950000,13.620000,13.920000,11.043889,1018800
2012-10-15,13.920000,14.210000,13.700000,13.840000,10.980418,1267900
2012-10-16,13.940000,14.440000,13.940000,14.330000,11.369176,1429200
2012-10-17,14.430000,14.510000,13.920000,14.210000,11.273970,1857200
2012-10-18,14.140000,14.140000,13.780000,14.100000,11.186698,1767700
2012-10-19,14.000000,14.340000,14.000000,14.200000,11.266036,1736000
2012-10-22,14.190000,14.480000,14.010000,14.250000,11.305706,758400
2012-10-23,14.170000,14.390000,13.940000,14.030000,11.131162,866900
2012-10-24,13.980000,14.010000,13.700000,13.750000,10.909014,1286900
2012-10-25,13.810000,14.040000,13.810000,13.880000,11.012154,711600
2012-10-26,14.040000,14.090000,13.800000,13.910000,11.035955,788100
2012-10-29,13.890000,14.080000,13.260000,13.380000,10.615462,1186200
2012-10-30,13.350000,13.550000,13.310000,13.480000,10.694800,608000
2012-10-31,13.510000,13.740000,13.270000,13.420000,10.647197,1076400
2012-11-01,13.370000,14.290000,13.310000,14.200000,11.266036,1689800
2012-11-05,14.200000,14.330000,13.700000,14.100000,11.186698,1084200
2012-11-06,14.170000,14.600000,13.850000,14.530000,11.527852,1150200
2012-11-07,14.530000,14.650000,14.330000,14.600000,11.583389,1230500
2012-11-08,14.520000,14.980000,14.260000,14.540000,11.535788,1711600
2012-11-09,14.310000,14.450000,13.800000,13.850000,10.988352,3005600
2012-11-12,13.890000,14.060000,13.620000,13.970000,11.083559,944600
2012-11-13,13.890000,14.050000,13.650000,14.050000,11.147029,802200
2012-11-14,13.990000,14.040000,13.390000,13.500000,10.710669,1489100
2012-11-16,13.980000,14.040000,12.730000,12.850000,10.194970,3225400
2012-11-19,13.000000,13.210000,12.950000,13.110000,10.401248,935800
