Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,14.480000,14.480000,14.080000,14.250000,14.250000,10232000
2017-09-26,14.190000,14.510000,14.160000,14.300000,14.300000,5412700
2017-09-27,14.210000,14.280000,13.870000,14.100000,14.100000,3130300
2017-09-28,14.080000,14.160000,13.850000,13.900000,13.900000,4121000
2017-09-29,14.040000,14.340000,14.040000,14.070000,14.070000,6408800
2017-10-02,14.020000,14.250000,13.890000,14.090000,14.090000,3695000
2017-10-03,14.190000,14.470000,14.060000,14.390000,14.390000,4420400
2017-10-04,14.280000,14.450000,14.170000,14.300000,14.300000,4657200
2017-10-05,14.520000,14.670000,13.890000,13.940000,13.940000,8641100
2017-10-06,13.920000,13.950000,13.620000,13.800000,13.800000,8714600
2017-10-09,13.800000,14.000000,13.440000,13.900000,13.900000,5122700
2017-10-10,14.040000,14.080000,13.810000,13.970000,13.970000,8580600
2017-10-11,13.970000,14.140000,13.930000,14.010000,14.010000,2636400
2017-10-12,14.010000,14.010000,14.010000,14.010000,14.010000,0
2017-10-13,14.110000,14.250000,13.730000,14.000000,14.000000,5875600
2017-10-16,13.940000,14.080000,13.750000,13.960000,13.960000,10051200
2017-10-17,13.810000,14.000000,13.580000,13.800000,13.800000,11920000
2017-10-18,13.940000,14.020000,13.830000,13.850000,13.850000,5745400
2017-10-19,13.840000,13.840000,13.400000,13.540000,13.540000,6801500
2017-10-20,13.630000,13.760000,13.100000,13.400000,13.400000,6042400
2017-10-23,13.470000,13.530000,13.110000,13.290000,13.290000,5033200
