Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,20.920000,21.000000,19.540001,19.969999,19.969999,1050700
2017-09-26,19.969999,20.200001,19.370001,19.500000,19.500000,1032200
2017-09-27,19.459999,20.129999,18.840000,20.070000,20.070000,1295200
2017-09-28,20.100000,20.540001,19.540001,20.120001,20.120001,951400
2017-09-29,20.299999,21.150000,19.910000,21.139999,21.139999,1605700
2017-10-02,22.000000,23.040001,21.750000,22.799999,22.799999,2893700
2017-10-03,23.200001,24.790001,22.879999,24.700001,24.700001,3052500
2017-10-04,24.700001,25.879999,24.700001,25.670000,25.670000,2592000
2017-10-05,25.850000,26.540001,23.600000,24.299999,24.299999,4064400
2017-10-06,24.389999,25.000000,23.639999,24.450001,24.450001,1484100
2017-10-09,24.750000,25.620001,23.799999,23.990000,23.990000,1166900
2017-10-10,24.590000,25.049999,24.219999,24.969999,24.969999,1249000
2017-10-11,25.080000,25.139999,23.900000,23.900000,23.900000,2005500
2017-10-12,23.900000,23.900000,23.900000,23.900000,23.900000,0
2017-10-13,20.590000,21.600000,20.400000,21.250000,21.250000,7943700
2017-10-16,21.650000,21.650000,19.870001,20.379999,20.379999,4741600
2017-10-17,20.799999,21.190001,19.100000,19.240000,19.240000,4931800
2017-10-18,19.799999,20.950001,19.520000,20.920000,20.920000,8853200
2017-10-19,21.070000,21.410000,20.280001,21.410000,21.410000,3424900
2017-10-20,22.000000,22.860001,21.740000,22.510000,22.510000,3419600
2017-10-23,22.600000,23.280001,21.709999,21.930000,21.930000,1699200
