Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,14.790000,14.790000,14.370000,14.370000,14.370000,1508100
2017-09-26,14.530000,14.780000,14.460000,14.770000,14.770000,1459000
2017-09-27,14.800000,14.830000,14.390000,14.500000,14.500000,2250900
2017-09-28,14.550000,14.560000,14.140000,14.220000,14.220000,2641100
2017-09-29,14.290000,14.430000,14.170000,14.430000,14.430000,5364700
2017-10-02,14.450000,14.510000,14.170000,14.200000,14.200000,2800000
2017-10-03,14.170000,14.510000,14.170000,14.490000,14.490000,864100
2017-10-04,14.460000,14.500000,14.270000,14.280000,14.280000,910300
2017-10-05,14.380000,14.520000,14.230000,14.230000,14.230000,1390100
2017-10-06,14.270000,14.270000,13.870000,14.020000,14.020000,1629400
2017-10-09,14.000000,14.140000,13.900000,13.970000,13.970000,795100
2017-10-10,14.050000,14.120000,13.950000,14.050000,14.050000,810900
2017-10-11,14.450000,14.450000,14.220000,14.400000,14.400000,2472900
2017-10-12,14.400000,14.400000,14.400000,14.400000,14.400000,0
2017-10-13,14.440000,14.450000,14.180000,14.220000,14.220000,822200
2017-10-16,14.180000,14.310000,14.010000,14.020000,14.020000,708900
2017-10-17,14.010000,14.010000,13.580000,13.900000,13.900000,1684700
2017-10-18,13.900000,14.230000,13.780000,14.150000,14.150000,2040300
2017-10-19,14.160000,14.200000,13.850000,14.110000,14.110000,1578500
2017-10-20,14.170000,14.250000,13.940000,13.940000,13.940000,924500
2017-10-23,14.000000,14.050000,13.620000,13.640000,13.640000,1133400
