Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,29.440001,29.440001,28.540001,28.850000,28.850000,328700
2017-09-26,28.910000,29.090000,28.570000,28.570000,28.570000,403200
2017-09-27,28.600000,28.990000,27.280001,27.820000,27.820000,703600
2017-09-28,28.030001,28.160000,27.200001,28.160000,28.160000,620100
2017-09-29,28.150000,28.540001,27.740000,28.230000,28.230000,387600
2017-10-02,28.100000,28.799999,27.969999,28.650000,28.650000,376500
2017-10-03,28.700001,29.260000,28.660000,29.010000,29.010000,636500
2017-10-04,29.110001,29.139999,28.650000,28.940001,28.940001,363400
2017-10-05,29.180000,29.600000,28.900000,29.129999,29.129999,503900
2017-10-06,28.900000,29.200001,28.400000,28.850000,28.850000,282200
2017-10-09,28.610001,28.940001,28.459999,28.780001,28.780001,258200
2017-10-10,28.990000,29.500000,28.730000,29.410000,29.410000,615100
2017-10-11,29.250000,29.480000,28.940001,29.010000,29.010000,706600
2017-10-12,29.010000,29.010000,29.010000,29.010000,29.010000,0
2017-10-13,29.200001,29.490000,28.200001,28.200001,28.200001,1003200
2017-10-16,28.299999,28.389999,27.879999,27.950001,27.950001,509600
2017-10-17,28.070000,28.100000,26.940001,27.270000,27.270000,1116900
2017-10-18,27.480000,27.530001,27.040001,27.100000,27.100000,563400
2017-10-19,27.120001,27.879999,26.760000,27.879999,27.879999,695400
2017-10-20,27.780001,27.990000,27.559999,27.950001,27.950001,540400
2017-10-23,27.910000,27.910000,26.770000,26.799999,26.799999,698800
