Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,32.785702,33.416698,32.750099,32.972301,27.941484,1069039
2012-10-02,32.963402,33.274502,32.616798,33.061199,28.016817,934579
2012-10-03,33.265598,33.265598,32.456902,32.963402,27.933941,1079728
2012-10-04,32.883400,33.159000,32.448002,32.705700,27.715561,1175932
2012-10-05,32.874599,33.683300,32.732399,33.283401,28.205116,922090
2012-10-08,33.105598,33.701099,32.883400,33.416698,28.318069,1048448
2012-10-09,33.683300,33.683300,32.981201,33.443401,28.340706,669486
2012-10-10,33.443401,28.893000,33.025700,33.549999,28.431040,1641084
2012-10-11,34.349899,34.563202,33.905499,34.305401,29.071182,2018359
2012-10-15,34.305401,34.305401,32.616798,32.758999,27.760725,4824573
2012-10-16,33.070099,33.221199,32.136902,32.972301,27.941484,3148270
2012-10-17,33.043400,33.585602,33.016800,33.301201,28.220200,1407608
2012-10-18,33.292301,33.549999,32.687901,33.265598,28.190027,1798835
2012-10-19,33.318901,33.754398,33.078999,33.461102,28.355701,1451265
2012-10-22,33.452301,33.772202,33.167900,33.594501,28.468750,773678
2012-10-23,33.416698,33.727798,32.723499,32.999001,27.964108,986563
2012-10-24,33.167900,33.185600,32.661301,32.750099,27.753180,707629
2012-10-25,32.776798,33.238899,32.758999,32.883400,27.866144,960459
2012-10-26,32.785702,34.047699,32.723499,33.878799,28.709669,1599227
2012-10-29,33.701099,33.994400,33.505600,33.949902,28.769926,647094
2012-10-30,33.958801,34.652100,33.958801,34.563202,29.289646,834775
2012-10-31,34.429901,35.060902,33.958801,34.616501,29.334816,1039109
2012-11-01,34.945301,35.531898,34.572102,35.416401,30.012667,1327044
2012-11-05,35.416401,35.460800,34.891998,35.371899,29.974955,675562
2012-11-06,35.283100,35.505199,34.758701,34.883099,29.560741,1824714
2012-11-07,34.856499,35.069801,34.198799,34.216599,28.995926,1163442
2012-11-08,34.749802,35.487499,34.723099,34.989799,29.651154,1168506
2012-11-09,34.989799,35.718498,34.500999,35.167500,29.801746,1232416
2012-11-12,35.167500,35.220798,34.687599,34.767601,29.462862,722032
2012-11-13,34.767601,35.434101,34.456501,35.051998,29.703863,706617
2012-11-14,34.865299,35.345299,34.705399,34.927601,29.598450,783580
2012-11-16,34.865299,35.345299,34.376499,34.669800,29.379980,1453290
2012-11-19,34.856499,35.531898,34.536499,35.460800,30.050295,605013
2012-11-21,35.460800,35.700802,34.820900,35.229698,29.854452,643494
2012-11-22,35.114201,35.283100,34.678699,34.989799,29.651154,555617
2012-11-23,35.105301,35.585201,34.927601,35.496300,30.080376,863018
2012-11-26,35.309700,35.851799,35.149700,35.149700,29.786657,952808
2012-11-27,35.327499,35.780800,34.954201,35.194199,29.824368,993427
2012-11-28,35.105301,35.327499,34.767601,35.060902,29.711411,1119110
2012-11-29,35.238602,35.371899,34.678699,35.318600,29.929792,603662
2012-11-30,35.309700,35.380798,34.465401,34.918701,29.590906,1500436
2012-12-03,35.078602,35.087502,34.269901,34.660900,29.372442,941106
2012-12-04,34.625401,34.883099,34.225399,34.394299,29.146515,1042485
2012-12-05,34.545399,34.625401,33.781101,34.483200,29.221851,819248
2012-12-06,34.349899,35.016399,34.127701,34.927601,29.598450,1642096
2012-12-07,34.927601,35.274200,34.687599,34.883099,29.560741,562143
2012-12-10,34.865299,35.265301,34.483200,35.016399,29.673698,955058
2012-12-11,35.327499,35.389702,34.803101,35.194199,29.824368,1168843
2012-12-12,35.371899,35.763000,34.696499,35.371899,29.974955,1671239
2012-12-13,35.203098,35.656300,34.856499,35.283100,29.899706,899136
2012-12-14,35.291901,35.816299,35.291901,35.611900,30.178337,917702
2012-12-17,35.451900,36.865002,35.451900,36.598400,31.014322,943018
2012-12-18,36.962799,36.962799,36.305099,36.882801,31.255329,932667
2012-12-19,36.882801,37.460499,36.100700,37.291599,31.601755,908363
2012-12-20,37.131599,38.126999,36.980499,37.220501,31.541506,1505611
2012-12-21,37.025002,37.655998,36.651699,37.193901,31.518965,1033371
2012-12-26,37.193901,38.082600,36.891701,37.655998,31.910549,779416
2012-12-27,37.718201,37.949299,36.758400,37.291599,31.601755,839164
2012-12-28,37.318298,37.673801,36.811699,37.105000,31.443619,934129
2013-01-02,37.105000,38.189201,37.105000,37.771500,32.008430,909825
2013-01-03,37.851501,37.878201,37.060501,37.540501,31.812679,1244793
2013-01-04,37.504902,38.695801,37.238300,37.469398,31.752428,1050249
2013-01-07,37.416000,37.931499,37.291599,37.593800,31.857845,1211488
2013-01-08,37.682701,38.384800,37.549400,37.993698,32.196732,1173682
2013-01-09,38.207001,38.695801,38.020401,38.073700,32.264523,1265159
2013-01-10,38.100399,38.242599,36.962799,37.638199,31.895466,881583
2013-01-11,37.460499,37.984798,37.380501,37.798199,32.031059,631904
