23/11/2017;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0,107516198958414;-3,18988138910204E-02;-9,72463796418862E-02;3,25387959488947E-02;1,58599765015132;0,771008274216694
IPCA;0,05581776046366;9,60597814832275E-02;-1,16578688920311;0,916688053164769;2,21366179655731;2,07705983031053

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
252;2,3998;7,0301;4,5217
378;2,7944;7,6317;4,7058
504;3,3825;8,2210;4,6801
630;3,8350;8,7097;4,6946
756;4,1491;9,0896;4,7436
882;4,3683;9,3775;4,7995
1.008;4,5273;9,5944;4,8476
1.134;4,6478;9,7586;4,8838
1.260;4,7426;9,8844;4,9089
1.386;4,8195;9,9823;4,9254
1.512;4,8832;10,0599;4,9356
1.638;4,9371;10,1225;4,9414
1.764;4,9831;10,1739;4,9444
1.890;5,0231;10,2169;4,9453
2.016;5,0580;10,2534;4,9452
2.142;5,0888;10,2848;4,9443
2.268;5,1162;10,3121;4,9430
2.394;5,1407;;
2.520;5,1627;;
2.646;5,1827;;
2.772;5,2008;;
2.898;5,2174;;
3.024;5,2326;;
3.150;5,2465;;
3.276;5,2594;;
3.402;5,2714;;
3.528;5,2824;;
3.654;5,2928;;
3.780;5,3024;;
3.906;5,3114;;
4.032;5,3199;;
4.158;5,3278;;
4.284;5,3353;;
4.410;5,3423;;
4.536;5,3490;;
4.662;5,3552;;
4.788;5,3612;;
4.914;5,3669;;
5.040;5,3722;;
5.166;5,3773;;
5.292;5,3822;;
5.418;5,3868;;
5.544;5,3913;;
5.670;5,3955;;
5.796;5,3996;;
5.922;5,4034;;
6.048;5,4071;;
6.174;5,4107;;
6.300;5,4141;;
6.426;5,4174;;
6.552;5,4206;;
6.678;5,4236;;
6.804;5,4265;;
6.930;5,4294;;
7.056;5,4321;;
7.182;5,4347;;
7.308;5,4372;;
7.434;5,4397;;
7.560;5,4421;;
7.686;5,4444;;
7.812;5,4466;;
7.938;5,4487;;
8.064;5,4508;;
8.190;5,4528;;
8.316;5,4548;;
8.442;5,4567;;
8.568;5,4585;;
8.694;5,4603;;
8.820;5,4620;;
8.946;5,4637;;
9.072;5,4653;;
9.198;5,4669;;
9.324;5,4685;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;7,2749
42;7,0607
63;6,9076
126;6,7223
252;7,0301
504;8,2210
756;9,0896
1.008;9,5944
1.260;9,8844
2.520;

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/01/2018;0,1456
LTN;100000;01/04/2018;-0,0786
LTN;100000;01/07/2018;-0,0967
LTN;100000;01/10/2018;-0,0409
LTN;100000;01/01/2019;0,0404
LTN;100000;01/04/2019;0,0454
LTN;100000;01/07/2019;0,0268
LTN;100000;01/10/2019;-0,0345
LTN;100000;01/01/2020;0,0018
LTN;100000;01/07/2020;-0,0507
LTN;100000;01/07/2021;-0,0163
NTN-F;950199;01/01/2018;0,1287
NTN-F;950199;01/01/2019;0,0262
NTN-F;950199;01/01/2021;0,0250
NTN-F;950199;01/01/2023;0,0095
NTN-F;950199;01/01/2025;-0,0151
NTN-F;950199;01/01/2027;0,0084
NTN-B;760199;15/08/2018;0,0013
NTN-B;760199;15/05/2019;-0,0074
NTN-B;760199;15/08/2020;0,0154
NTN-B;760199;15/05/2021;0,0397
NTN-B;760199;15/08/2022;0,0082
NTN-B;760100;15/03/2023;-0,0715
NTN-B;760199;15/05/2023;-0,0523
NTN-B;760199;15/08/2024;0,0203
NTN-B;760199;15/08/2026;0,0653
NTN-B;760199;15/08/2030;0,0088
NTN-B;760199;15/05/2035;-0,0260
NTN-B;760199;15/08/2040;0,0032
NTN-B;760199;15/05/2045;-0,0462
NTN-B;760199;15/08/2050;-0,0064
NTN-B;760199;15/05/2055;0,0453

