DATE,DEXBZUS
2012-10-01,2.0254
2012-10-02,2.0260
2012-10-03,2.0244
2012-10-04,2.0210
2012-10-05,2.0273
2012-10-08,.
2012-10-09,2.0354
2012-10-10,2.0399
2012-10-11,2.0360
2012-10-12,2.0436
2012-10-15,2.0355
2012-10-16,2.0326
2012-10-17,2.0323
2012-10-18,2.0280
2012-10-19,2.0269
2012-10-22,2.0240
2012-10-23,2.0284
2012-10-24,2.0267
2012-10-25,2.0254
2012-10-26,2.0250
2012-10-29,2.0295
2012-10-30,2.0310
2012-10-31,2.0298
2012-11-01,2.0304
2012-11-02,2.0304
2012-11-05,2.0344
2012-11-06,2.0330
2012-11-07,2.0335
2012-11-08,2.0397
2012-11-09,2.0475
2012-11-12,.
2012-11-13,2.0638
2012-11-14,2.0680
2012-11-15,2.0663
2012-11-16,2.0781
2012-11-19,2.0725
2012-11-20,2.0800
2012-11-21,2.0962
2012-11-22,.
2012-11-23,2.0872
2012-11-26,2.0838
2012-11-27,2.0750
2012-11-28,2.0900
2012-11-29,2.1028
2012-11-30,2.1118
2012-12-03,2.1141
2012-12-04,2.1133
2012-12-05,2.1005
2012-12-06,2.0790
2012-12-07,2.0800
2012-12-10,2.0815
2012-12-11,2.0785
2012-12-12,2.0791
2012-12-13,2.0790
2012-12-14,2.0827
2012-12-17,2.0930
2012-12-18,2.0852
2012-12-19,2.0747
2012-12-20,2.0596
2012-12-21,2.0767
2012-12-24,2.0790
2012-12-25,.
2012-12-26,2.0495
2012-12-27,2.0517
2012-12-28,2.0445
2012-12-31,2.0476
2013-01-01,.
2013-01-02,2.0425
2013-01-03,2.0360
2013-01-04,2.0350
2013-01-07,2.0260
2013-01-08,2.0393
2013-01-09,2.0384
2013-01-10,2.0325
2013-01-11,2.0375
2013-01-14,2.0301
2013-01-15,2.0375
2013-01-16,2.0405
2013-01-17,2.0425
2013-01-18,2.0441
2013-01-21,.
2013-01-22,2.0478
2013-01-23,2.0375
2013-01-24,2.0285
2013-01-25,2.0290
2013-01-28,2.0028
2013-01-29,1.9893
2013-01-30,1.9860
2013-01-31,1.9875
2013-02-01,1.9810
2013-02-04,1.9913
2013-02-05,1.9840
2013-02-06,1.9847
2013-02-07,1.9708
2013-02-08,1.9725
2013-02-11,1.9724
2013-02-12,1.9680
2013-02-13,1.9663
2013-02-14,1.9590
2013-02-15,1.9615
2013-02-18,.
2013-02-19,1.9564
2013-02-20,1.9605
2013-02-21,1.9727
2013-02-22,1.9710
2013-02-25,1.9688
