Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,61.790001,61.790001,60.500000,61.080002,61.080002,977500
2017-09-26,60.939999,62.349998,60.750000,61.700001,61.700001,1199200
2017-09-27,61.790001,61.849998,60.509998,61.130001,61.130001,1254700
2017-09-28,61.330002,62.349998,60.669998,61.200001,61.200001,1186100
2017-09-29,61.830002,61.830002,61.169998,61.250000,61.250000,802300
2017-10-02,61.099998,61.639999,60.450001,61.150002,61.150002,1651900
2017-10-03,61.150002,62.070000,61.150002,61.799999,61.799999,1993400
2017-10-04,62.070000,62.139999,61.220001,61.950001,61.950001,722900
2017-10-05,62.779999,63.310001,62.000000,62.000000,62.000000,988700
2017-10-06,61.740002,61.900002,60.990002,61.450001,61.450001,623400
2017-10-09,61.139999,61.750000,60.939999,61.450001,61.450001,638600
2017-10-10,62.299999,62.880001,61.500000,61.500000,61.500000,1450300
2017-10-11,61.220001,62.470001,61.220001,61.820000,61.820000,1205600
2017-10-12,61.820000,61.820000,61.820000,61.820000,61.820000,0
2017-10-13,61.849998,62.900002,61.849998,62.439999,62.439999,996800
2017-10-16,62.740002,62.750000,61.599998,61.599998,61.599998,1825400
2017-10-17,61.860001,62.110001,60.330002,61.910000,61.910000,1365500
2017-10-18,61.880001,62.869999,61.630001,62.500000,62.500000,645300
2017-10-19,61.950001,63.150002,61.950001,63.150002,63.150002,719000
2017-10-20,63.160000,63.770000,61.520000,61.520000,61.520000,2812400
2017-10-23,61.419998,62.169998,59.180000,60.000000,60.000000,1898100
