Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,11.330000,11.460000,11.286700,11.370000,9.650310,1125600
2012-10-02,11.406700,11.746700,11.406700,11.666700,9.902135,1090200
2012-10-03,null,null,null,null,null,null
2012-10-04,null,null,null,null,null,null
2012-10-05,11.886700,12.033300,11.780000,12.033300,10.213287,1542000
2012-10-08,11.850000,12.050000,11.723300,11.816700,10.029448,2359200
2012-10-09,11.906700,11.970000,11.706700,11.706700,9.936085,602700
2012-10-10,11.746700,11.876700,11.670000,11.816700,10.029448,859800
2012-10-11,null,null,null,null,null,null
2012-10-15,12.083300,12.366700,11.953300,11.953300,10.145388,1160400
2012-10-16,null,null,null,null,null,null
2012-10-17,null,null,null,null,null,null
2012-10-18,12.283300,12.403300,12.250000,12.333300,10.467913,573300
2012-10-19,null,null,null,null,null,null
2012-10-22,12.336700,12.553300,12.223300,12.463300,10.578250,1231200
2012-10-23,12.480000,12.673300,12.370000,12.380000,10.507549,950100
2012-10-24,null,null,null,null,null,null
2012-10-25,null,null,null,null,null,null
2012-10-26,null,null,null,null,null,null
2012-10-29,null,null,null,null,null,null
2012-10-30,12.670000,12.760000,12.633300,12.666700,10.750887,3132000
2012-10-31,null,null,null,null,null,null
2012-11-01,null,null,null,null,null,null
2012-11-05,13.006700,13.256700,13.006700,13.166700,11.175263,805200
2012-11-06,null,null,null,null,null,null
2012-11-07,null,null,null,null,null,null
2012-11-08,13.156700,13.330000,12.803300,13.130000,11.144114,1416900
2012-11-09,null,null,null,null,null,null
2012-11-12,null,null,null,null,null,null
2012-11-13,null,null,null,null,null,null
2012-11-14,null,null,null,null,null,null
2012-11-16,12.466700,12.650000,12.273300,12.650000,10.736712,1290900
2012-11-19,null,null,null,null,null,null
2012-11-21,12.946700,12.946700,12.946700,12.946700,10.988538,0
2012-11-22,null,null,null,null,null,null
2012-11-23,null,null,null,null,null,null
2012-11-26,null,null,null,null,null,null
2012-11-27,null,null,null,null,null,null
2012-11-28,12.496700,12.776700,12.450000,12.666700,10.750887,560100
2012-11-29,null,null,null,null,null,null
2012-11-30,null,null,null,null,null,null
2012-12-03,null,null,null,null,null,null
2012-12-04,12.000000,12.216700,11.483300,12.066700,10.241635,2831700
2012-12-05,12.060000,12.413300,12.030000,12.393300,10.518838,1798500
2012-12-06,null,null,null,null,null,null
2012-12-07,null,null,null,null,null,null
2012-12-10,null,null,null,null,null,null
2012-12-11,null,null,null,null,null,null
2012-12-12,null,null,null,null,null,null
2012-12-13,null,null,null,null,null,null
2012-12-14,null,null,null,null,null,null
2012-12-17,13.070000,13.230000,12.886700,13.166700,11.175263,1939800
2012-12-18,null,null,null,null,null,null
2012-12-19,null,null,null,null,null,null
2012-12-20,null,null,null,null,null,null
2012-12-21,13.286700,13.910000,13.273300,13.663300,11.596752,3724500
2012-12-26,null,null,null,null,null,null
2012-12-27,null,null,null,null,null,null
2012-12-28,null,null,null,null,null,null
2013-01-02,13.980000,13.980000,13.553300,13.583300,11.528852,1627200
2013-01-03,null,null,null,null,null,null
2013-01-04,null,null,null,null,null,null
2013-01-07,null,null,null,null,null,null
2013-01-08,13.483300,13.823300,13.396700,13.793300,11.707090,6316500
2013-01-09,null,null,null,null,null,null
2013-01-10,null,null,null,null,null,null
2013-01-11,null,null,null,null,null,null
2013-01-14,null,null,null,null,null,null
2013-01-15,14.156700,14.156700,13.416700,13.583300,11.528852,1844100
2013-01-16,null,null,null,null,null,null
2013-01-17,null,null,null,null,null,null
2013-01-18,13.900000,13.996700,13.770000,13.900000,11.797652,1836600
2013-01-21,null,null,null,null,null,null
2013-01-22,14.200000,14.333300,13.906700,14.176700,12.032502,3456300
2013-01-23,14.100000,14.310000,13.906700,14.250000,12.094715,1641600
2013-01-24,null,null,null,null,null,null
2013-01-28,null,null,null,null,null,null
2013-01-29,null,null,null,null,null,null
2013-01-30,14.703300,14.800000,14.606700,14.710000,12.485141,2919000
2013-01-31,14.743300,14.800000,14.340000,14.700000,12.476654,3286800
2013-02-01,null,null,null,null,null,null
2013-02-04,null,null,null,null,null,null
2013-02-05,null,null,null,null,null,null
2013-02-06,null,null,null,null,null,null
2013-02-07,14.866700,15.050000,14.703300,14.800000,12.561529,2125200
2013-02-08,null,null,null,null,null,null
2013-02-13,14.886700,15.280000,14.763300,15.183300,12.886855,1999800
2013-02-14,null,null,null,null,null,null
2013-02-15,15.460000,16.113300,15.460000,15.900000,13.495156,3763200
2013-02-18,null,null,null,null,null,null
2013-02-19,16.040001,16.059999,15.416700,15.833300,13.438544,2406300
2013-02-20,15.843300,15.926700,15.400000,15.820000,13.427257,5641800
2013-02-21,null,null,null,null,null,null
2013-02-22,null,null,null,null,null,null
2013-02-25,null,null,null,null,null,null
2013-02-26,null,null,null,null,null,null
2013-02-27,16.219999,16.406700,16.143299,16.406700,13.925219,1664400
2013-02-28,16.406700,16.440001,15.970000,16.166700,13.721519,3184500
2013-03-01,null,null,null,null,null,null
2013-03-04,null,null,null,null,null,null
2013-03-05,null,null,null,null,null,null
2013-03-06,16.250000,16.299999,15.943300,15.950000,13.537594,2301600
2013-03-07,null,null,null,null,null,null
2013-03-08,null,null,null,null,null,null
2013-03-11,null,null,null,null,null,null
2013-03-12,15.560000,15.573300,15.213300,15.500000,13.155656,2438100
2013-03-13,null,null,null,null,null,null
2013-03-14,null,null,null,null,null,null
2013-03-15,null,null,null,null,null,null
