Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,13.330000,13.330000,12.310000,12.380000,12.380000,503400
2017-09-26,12.480000,13.380000,12.460000,13.380000,13.380000,524800
2017-09-27,13.420000,13.800000,12.850000,13.220000,13.220000,566300
2017-09-28,13.300000,13.320000,12.580000,12.590000,12.590000,379900
2017-09-29,12.780000,13.880000,12.700000,13.720000,13.720000,561100
2017-10-02,13.880000,13.880000,13.200000,13.300000,13.300000,213300
2017-10-03,13.440000,13.590000,13.010000,13.500000,13.500000,239700
2017-10-04,13.450000,14.010000,13.380000,13.760000,13.760000,251300
2017-10-05,13.950000,14.430000,13.760000,14.000000,14.000000,531000
2017-10-06,14.000000,14.010000,13.630000,14.010000,14.010000,270800
2017-10-09,14.600000,14.640000,14.120000,14.350000,14.350000,920000
2017-10-10,14.380000,14.730000,14.240000,14.500000,14.500000,444000
2017-10-11,14.550000,14.550000,14.210000,14.500000,14.500000,334500
2017-10-12,14.500000,14.500000,14.500000,14.500000,14.500000,0
2017-10-13,14.500000,14.790000,14.200000,14.790000,14.790000,397900
2017-10-16,14.800000,15.400000,14.450000,14.570000,14.570000,579400
2017-10-17,14.390000,14.590000,13.890000,14.470000,14.470000,428700
2017-10-18,14.600000,14.790000,14.280000,14.620000,14.620000,314000
2017-10-19,14.370000,15.080000,14.300000,14.990000,14.990000,269000
2017-10-20,15.080000,15.250000,14.850000,14.850000,14.850000,140500
2017-10-23,15.150000,15.220000,14.560000,14.740000,14.740000,192200
