Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,5.510000,5.570000,5.210000,5.240000,5.240000,22846800
2017-09-26,5.330000,5.420000,5.270000,5.300000,5.300000,17102900
2017-09-27,5.360000,5.380000,5.050000,5.220000,5.220000,26813800
2017-09-28,5.220000,5.220000,5.050000,5.120000,5.120000,15889500
2017-09-29,5.180000,5.300000,5.170000,5.290000,5.290000,20503300
2017-10-02,5.340000,5.390000,5.240000,5.330000,5.330000,13209200
2017-10-03,5.360000,5.630000,5.360000,5.620000,5.620000,21259900
2017-10-04,5.550000,5.700000,5.480000,5.700000,5.700000,19914800
2017-10-05,5.800000,5.930000,5.450000,5.450000,5.450000,34565500
2017-10-06,5.350000,5.480000,5.300000,5.340000,5.340000,21412900
2017-10-09,5.390000,5.410000,5.200000,5.370000,5.370000,16208500
2017-10-10,5.440000,5.660000,5.400000,5.660000,5.660000,22934800
2017-10-11,5.600000,5.710000,5.520000,5.570000,5.570000,18417600
2017-10-12,5.570000,5.570000,5.570000,5.570000,5.570000,0
2017-10-13,5.710000,5.750000,5.650000,5.670000,5.670000,13154100
2017-10-16,5.750000,5.770000,5.540000,5.580000,5.580000,17292700
2017-10-17,5.540000,5.570000,5.480000,5.500000,5.500000,8103000
2017-10-18,5.560000,5.620000,5.480000,5.600000,5.600000,12884600
2017-10-19,5.510000,5.720000,5.490000,5.660000,5.660000,12069000
2017-10-20,5.700000,5.760000,5.600000,5.600000,5.600000,11458400
2017-10-23,5.650000,5.690000,5.510000,5.560000,5.560000,9772600
