Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,13.870000,13.870000,12.880000,13.350000,13.350000,2667400
2017-09-26,13.400000,13.810000,13.020000,13.110000,13.110000,2803000
2017-09-27,13.250000,13.250000,12.370000,12.850000,12.850000,2449800
2017-09-28,12.780000,12.870000,12.460000,12.700000,12.700000,1924500
2017-09-29,12.660000,13.470000,12.620000,13.350000,13.350000,2593300
2017-10-02,13.490000,13.630000,13.270000,13.570000,13.570000,1677800
2017-10-03,13.670000,14.560000,13.670000,14.400000,14.400000,2502600
2017-10-04,14.400000,14.880000,14.030000,14.300000,14.300000,1773500
2017-10-05,14.950000,15.430000,14.650000,15.170000,15.170000,3135800
2017-10-06,15.070000,15.620000,14.660000,15.420000,15.420000,2286600
2017-10-09,15.400000,15.860000,15.040000,15.440000,15.440000,1830200
2017-10-10,15.650000,15.790000,15.190000,15.600000,15.600000,1789300
2017-10-11,15.750000,15.770000,14.950000,15.470000,15.470000,2045500
2017-10-12,15.470000,15.470000,15.470000,15.470000,15.470000,0
2017-10-13,15.600000,15.700000,15.070000,15.200000,15.200000,1549500
2017-10-16,15.250000,15.250000,14.220000,14.560000,14.560000,2738900
2017-10-17,14.620000,14.730000,14.060000,14.400000,14.400000,1819400
2017-10-18,14.560000,15.150000,14.380000,15.060000,15.060000,2730800
2017-10-19,15.200000,15.200000,14.630000,14.960000,14.960000,1924900
2017-10-20,15.000000,15.330000,14.960000,15.230000,15.230000,1597200
2017-10-23,15.180000,15.250000,14.700000,14.700000,14.700000,1599600
