Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,27.690001,27.690001,26.559999,26.559999,26.559999,259900
2017-09-26,26.700001,26.950001,26.610001,26.660000,26.660000,212300
2017-09-27,26.950001,27.000000,25.660000,26.350000,26.350000,275600
2017-09-28,26.350000,26.830000,25.940001,26.830000,26.830000,210800
2017-09-29,26.760000,26.799999,26.320000,26.730000,26.730000,316900
2017-10-02,26.969999,26.969999,26.520000,26.799999,26.799999,121800
2017-10-03,26.770000,26.959999,26.340000,26.959999,26.959999,502500
2017-10-04,27.000000,27.200001,26.180000,26.180000,26.180000,460900
2017-10-05,26.459999,27.410000,26.410000,27.100000,27.100000,298000
2017-10-06,27.260000,27.260000,26.379999,26.770000,26.770000,401500
2017-10-09,26.889999,27.000000,26.540001,26.600000,26.600000,189600
2017-10-10,26.870001,26.920000,26.500000,26.600000,26.600000,438100
2017-10-11,26.610001,26.830000,26.410000,26.530001,26.530001,373700
2017-10-12,26.530001,26.530001,26.530001,26.530001,26.530001,0
2017-10-13,26.530001,26.820000,26.290001,26.690001,26.690001,377600
2017-10-16,26.780001,26.809999,26.440001,26.570000,26.570000,317400
2017-10-17,26.719999,26.719999,26.400000,26.400000,26.400000,244100
2017-10-18,26.400000,26.680000,26.309999,26.400000,26.400000,1493600
2017-10-19,26.400000,26.549999,25.780001,26.299999,26.299999,372300
2017-10-20,26.530001,27.000000,26.299999,26.600000,26.600000,1341800
2017-10-23,26.600000,26.969999,26.570000,26.700001,26.700001,623300
