Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,6.016490,6.123570,5.989720,6.123570,4.747631,20315813
2012-10-02,6.096800,6.163720,6.049950,6.110180,4.737250,15461218
2012-10-03,6.116870,6.130260,5.989720,6.009800,4.659425,17869016
2012-10-04,6.009800,6.029870,5.936180,6.029870,4.674985,21251797
2012-10-05,6.063330,6.157030,6.029870,6.083410,4.716495,25481656
2012-10-08,6.063330,6.110180,5.976330,6.096800,4.726876,15203314
2012-10-09,6.090100,6.103490,5.902720,5.949560,4.612720,24502488
2012-10-10,5.949560,5.989720,5.775560,5.809020,4.503759,23133328
2012-10-11,5.855870,5.942870,5.822410,5.902720,4.576406,22752898
2012-10-15,5.902720,5.949560,5.842480,5.942870,4.607534,28023635
2012-10-16,5.983030,6.029870,5.889330,5.962950,4.623102,11456838
2012-10-17,5.976330,5.983030,5.755480,5.936180,4.602347,29935947
2012-10-18,5.889330,5.956260,5.829100,5.956260,4.617914,17651905
2012-10-19,5.936180,5.936180,5.822410,5.922790,4.591966,24513994
2012-10-22,5.916100,5.916100,5.795640,5.855870,4.540081,23168891
2012-10-23,5.748790,5.755480,5.628330,5.668480,4.394796,38458272
2012-10-24,5.668480,5.942870,5.668480,5.929490,4.597161,41671011
2012-10-25,5.969640,6.063330,5.909410,6.009800,4.659425,15697156
2012-10-26,5.936180,5.983030,5.869250,5.929490,4.597161,15811764
2012-10-29,5.862560,5.942870,5.815710,5.942870,4.607534,10243376
2012-10-30,5.969640,6.016490,5.922790,6.003100,4.654230,9913451
2012-10-31,5.989720,5.996410,5.882640,5.956260,4.617914,17663709
2012-11-01,5.936180,6.223950,5.916100,6.223950,4.825456,25107800
2012-11-05,6.143640,6.203880,6.103490,6.197180,4.804701,9398690
2012-11-06,6.203880,6.290880,6.170410,6.257410,4.851398,21439323
2012-11-07,6.237340,6.257410,6.063330,6.103490,4.732063,15239475
2012-11-08,6.103490,6.170410,5.929490,5.976330,4.633475,21178580
2012-11-09,5.983030,6.049950,5.896020,5.956260,4.617914,15073466
2012-11-12,5.962950,6.016490,5.922790,5.976330,4.633475,8053287
2012-11-13,5.969640,6.096800,5.929490,6.096800,4.726876,13267393
2012-11-14,6.029870,6.076720,5.896020,5.983030,4.638669,21403610
2012-11-16,5.942870,6.063330,5.922790,5.996410,4.649044,12717966
2012-11-19,5.996410,6.237340,5.996410,6.217260,4.820269,15413851
2012-11-21,6.223950,6.310950,6.143640,6.290880,4.877348,15728984
2012-11-22,6.304260,6.357800,6.290880,6.357800,4.929230,9783154
2012-11-23,6.310950,6.431420,6.310950,6.431420,4.986309,13248118
2012-11-26,6.397960,6.404650,6.237340,6.264110,4.856592,12119976
2012-11-27,6.297570,6.324340,6.143640,6.197180,4.804701,13177740
2012-11-28,6.143640,6.257410,6.116870,6.244030,4.841024,16371950
2012-11-29,6.290880,6.371190,6.197180,6.371190,4.939611,15348703
2012-11-30,6.384570,6.491650,6.237340,6.431420,4.986309,30290527
2012-12-03,6.464880,6.625500,6.444800,6.578650,5.112381,25559206
2012-12-04,6.531800,6.571960,6.391260,6.491650,5.044771,11625686
2012-12-05,6.484960,6.571960,6.444800,6.531800,5.075971,17258923
2012-12-06,6.551880,6.551880,6.377880,6.444800,5.008362,19648641
2012-12-07,6.438110,6.518420,6.384570,6.491650,5.044771,13136649
2012-12-10,6.451500,6.505030,6.418030,6.491650,5.044771,11511378
2012-12-11,6.525110,6.558570,6.438110,6.531800,5.075971,16128689
2012-12-12,6.525110,6.545190,6.458190,6.491650,5.044771,19818982
2012-12-13,6.458190,6.551880,6.451500,6.484960,5.039572,16831723
2012-12-14,6.505030,6.511730,6.411340,6.458190,5.018769,23433219
2012-12-17,6.458190,6.484960,6.411340,6.418030,4.987559,16730116
2012-12-18,6.418030,6.484960,6.391260,6.458190,5.018769,19992612
2012-12-19,6.471570,6.685730,6.438110,6.672350,5.185195,22431340
2012-12-20,6.679040,6.725880,6.598730,6.652270,5.169591,13992094
2012-12-21,6.592040,6.752650,6.571960,6.612110,5.138382,18682623
2012-12-26,6.685730,6.685730,6.525110,6.558570,5.261494,17073937
2012-12-27,6.538500,6.578650,6.411340,6.458190,5.180966,15538918
2012-12-28,6.491650,6.538500,6.424730,6.484960,5.202442,14525533
2013-01-02,6.571960,6.725880,6.571960,6.712500,5.384981,17607078
2013-01-03,6.705810,6.946730,6.665650,6.926660,5.556786,20302365
2013-01-04,6.906580,6.933350,6.806190,6.893190,5.529937,16203251
2013-01-07,6.846350,6.906580,6.766040,6.806190,5.460142,23550666
2013-01-08,6.806190,6.899890,6.752650,6.853040,5.497725,24518925
2013-01-09,6.866430,6.933350,6.846350,6.926660,5.556786,10836136
2013-01-10,6.933350,6.960120,6.846350,6.866430,5.508469,14424971
2013-01-11,6.853040,6.906580,6.819580,6.886500,5.524570,10000714
2013-01-14,6.919960,7.000270,6.893190,6.940040,5.567521,23582792
2013-01-15,6.919960,7.000270,6.866430,6.886500,5.524570,12143286
2013-01-16,6.853040,6.953430,6.806190,6.926660,5.556786,12923721
2013-01-17,6.919960,7.073890,6.906580,7.040430,5.648057,20094070
2013-01-18,7.053810,7.067200,6.973500,7.060510,5.664166,22093645
2013-01-21,7.040430,7.060510,6.993580,7.047120,5.653423,6638105
2013-01-22,7.040430,7.120740,6.966810,7.047120,5.653423,11464907
2013-01-23,7.073890,7.087280,7.006970,7.053810,5.658792,15202119
2013-01-24,7.020350,7.073890,6.879810,7.020350,5.631948,15232302
2013-01-28,6.993580,6.993580,6.772730,6.826270,5.476251,15685800
2013-01-29,6.799500,6.879810,6.732580,6.819580,5.470884,15444333
2013-01-30,6.786120,6.839660,6.699110,6.719190,5.390348,13057455
2013-01-31,6.719190,6.792810,6.638880,6.745960,5.411823,19780581
2013-02-01,6.752650,6.779420,6.652270,6.725880,5.395715,16745506
2013-02-04,6.685730,6.699110,6.511730,6.558570,5.261494,16894182
2013-02-05,6.598730,6.786120,6.592040,6.705810,5.379614,24436294
2013-02-06,6.692420,6.725880,6.518420,6.585340,5.282968,20816529
2013-02-07,6.605420,6.679040,6.464880,6.545190,5.250761,16962020
2013-02-08,6.558570,6.665650,6.478260,6.658960,5.342029,15818338
2013-02-13,6.672350,6.705810,6.605420,6.625500,5.315187,14108195
2013-02-14,6.592040,6.638880,6.525110,6.592040,5.288343,11875670
2013-02-15,6.612110,6.919960,6.592040,6.899890,5.535312,18473281
2013-02-18,6.879810,7.000270,6.839660,6.973500,5.594364,12081126
2013-02-19,6.953430,6.980200,6.799500,6.866430,5.508469,12824505
2013-02-20,6.859730,6.899890,6.692420,6.752650,5.417191,19449012
2013-02-21,6.705810,6.806190,6.612110,6.692420,5.368872,25942625
2013-02-22,6.705810,6.913270,6.699110,6.906580,5.540678,32191334
2013-02-25,6.940040,7.020350,6.873120,6.919960,5.551412,27469277
2013-02-26,6.879810,6.886500,6.665650,6.786120,5.444040,18872389
2013-02-27,6.792810,6.826270,6.692420,6.812890,5.465518,17184660
2013-02-28,6.799500,6.933350,6.779420,6.913270,5.546045,17235912
2013-03-01,6.832960,6.980200,6.832960,6.933350,5.574249,15568504
2013-03-04,6.906580,6.926660,6.779420,6.906580,5.552725,15104247
2013-03-05,6.933350,7.053810,6.866430,6.853040,5.509681,22743335
2013-03-06,6.946730,7.006970,6.832960,6.986890,5.617294,13581928
2013-03-07,7.000270,7.073890,6.913270,7.040430,5.660338,16723989
2013-03-08,6.973500,7.261280,6.946730,7.247890,5.827130,21679146
2013-03-11,7.221120,7.254590,7.114040,7.201050,5.789473,14995019
2013-03-12,7.167580,7.201050,7.067200,7.093970,5.703382,8678621
2013-03-13,7.073890,7.154200,7.033740,7.087280,5.698004,25232867
2013-03-14,7.107350,7.114040,6.859730,6.960120,5.595771,20119770
2013-03-15,6.960120,6.980200,6.832960,6.940040,5.579627,18819344
2013-03-18,6.906580,7.067200,6.893190,7.047120,5.665716,15331967
2013-03-19,6.906580,7.080580,6.893190,6.986890,5.617294,10842412
2013-03-20,6.940040,7.053810,6.919960,7.040430,5.660338,14481304
2013-03-21,7.013660,7.033740,6.919960,6.960120,5.595771,17684628
2013-03-22,7.000270,7.020350,6.846350,6.879810,5.531204,16617750
2013-03-25,6.919960,6.926660,6.772730,6.826270,5.488158,14213239
2013-03-26,6.826270,6.946730,6.819580,6.879810,5.531204,15917107
2013-03-27,6.859730,6.919960,6.752650,6.906580,5.552725,11190268
2013-03-28,null,null,null,null,null,null
2013-04-01,7.027040,7.060510,6.899890,6.933350,5.574249,12779229
2013-04-02,7.027040,7.060510,6.792810,6.812890,5.477401,17347082
2013-04-03,6.819580,6.853040,6.725880,6.812890,5.477401,12168090
2013-04-04,6.812890,6.826270,6.612110,6.638880,5.337500,17126235
2013-04-05,6.612110,6.699110,6.478260,6.652270,5.348266,16218642
2013-04-08,6.665650,6.679040,6.538500,6.645580,5.342888,16171125
2013-04-09,6.665650,6.859730,6.652270,6.806190,5.472016,20442374
2013-04-10,6.812890,7.013660,6.799500,6.906580,5.552725,20677117
2013-04-11,6.926660,6.960120,6.866430,6.946730,5.585005,13813683
2013-04-12,6.926660,6.940040,6.812890,6.826270,5.488158,18166218
2013-04-15,6.759350,6.806190,6.638880,6.685730,5.375168,13152637
2013-04-16,6.745960,6.832960,6.725880,6.826270,5.488158,18164425
2013-04-17,6.739270,6.752650,6.598730,6.652270,5.348266,29307475
2013-04-18,6.652270,6.692420,6.397960,6.431420,5.170709,21574251
2013-04-19,6.478260,6.598730,6.377880,6.592040,5.299842,15484528
2013-04-22,6.565270,6.598730,6.478260,6.551880,5.267555,24286124
2013-04-23,6.558570,6.699110,6.538500,6.592040,5.299842,11521239
2013-04-24,6.598730,6.719190,6.571960,6.618810,5.321365,10057494
2013-04-25,6.632190,6.712500,6.571960,6.652270,5.348266,9136901
2013-04-26,null,null,null,null,null,null
2013-04-29,6.471570,6.578650,6.424730,6.438110,5.176085,13622272
2013-04-30,6.458190,6.679040,6.351110,6.665650,5.359024,22542809
2013-05-02,6.654940,6.772730,6.573970,6.596050,5.303066,20698308
2013-05-03,6.662310,6.794820,6.632860,6.691750,5.380009,18518774
2013-05-06,6.654940,6.691750,6.581330,6.677030,5.368173,12453162
2013-05-07,6.677030,6.868430,6.654940,6.787450,5.456948,12850626
2013-05-08,6.860770,7.001690,6.860770,6.920100,5.563596,18112466
2013-05-09,6.897850,6.979440,6.756930,6.897850,5.545707,10871174
2013-05-10,6.853350,6.890440,6.771760,6.816270,5.480120,13929939
2013-05-13,6.823680,6.823680,6.660510,6.697590,5.384703,18464897
2013-05-14,6.705010,6.794010,6.645670,6.712430,5.396634,16043718
2013-05-15,6.734680,6.949770,6.697590,6.831100,5.492043,18271694
2013-05-16,6.816270,6.845930,6.742100,6.779180,5.450299,14091458
2013-05-17,6.823680,6.875600,6.764350,6.860770,5.515896,16702066
2013-05-20,6.823680,6.934940,6.764350,6.912690,5.557639,18892156
2013-05-21,6.942360,7.038780,6.853350,7.031360,5.653047,15002872
2013-05-22,6.994270,7.172280,6.986860,7.157450,5.754418,25234034
2013-05-23,7.031360,7.120360,6.972020,7.061030,5.676900,18453707
2013-05-24,7.031360,7.061030,6.927520,7.046190,5.664968,15163853
2013-05-27,7.031360,7.053610,6.986860,7.023940,5.647079,14348164
2013-05-28,7.061030,7.120360,7.031360,7.090700,5.700755,19199017
2013-05-29,7.023940,7.068450,6.875600,6.897850,5.545707,20817856
2013-05-31,6.868180,6.986860,6.779180,6.972020,5.605339,30974459
2013-06-03,6.972020,6.972020,6.845930,6.897850,5.557664,19267238
2013-06-04,6.905270,6.934940,6.801430,6.883020,5.545715,16719998
2013-06-05,6.845930,6.890440,6.601170,6.667920,5.372409,17542428
2013-06-06,6.675340,6.779180,6.578920,6.756930,5.444124,28812413
2013-06-07,6.675340,6.801430,6.556670,6.660510,5.366437,22868402
2013-06-10,6.571500,6.712430,6.571500,6.682760,5.384364,19309169
2013-06-11,6.630840,6.630840,6.460250,6.482500,5.223014,20547667
2013-06-12,6.512170,6.564090,6.378660,6.482500,5.223014,23981244
2013-06-13,6.489920,6.534420,6.400910,6.527000,5.258867,18881505
2013-06-14,6.512170,6.541830,6.311910,6.348990,5.115442,15676456
2013-06-17,6.378660,6.467660,6.341570,6.371240,5.133369,12250699
2013-06-18,6.326740,6.356410,6.245150,6.334160,5.103494,15167628
2013-06-19,6.341570,6.348990,6.081980,6.215480,5.007871,22369821
2013-06-20,6.111650,6.267400,5.874300,6.208070,5.001900,27589015
2013-06-21,6.156150,6.259990,6.096810,6.178400,4.977995,25242258
2013-06-24,6.096810,6.096810,5.889130,5.926220,4.774812,23794647
2013-06-25,5.970720,6.030060,5.844630,5.948470,4.792738,22413504
2013-06-26,5.978140,6.126480,5.933640,5.948470,4.792738,20598901
2013-06-27,5.963310,6.104230,5.963310,6.052310,4.876405,19260093
2013-06-28,6.022640,6.163570,5.985560,6.089400,4.906289,31976880
2013-07-01,6.022640,6.200650,5.985560,6.126480,4.936165,17066497
2013-07-02,6.052310,6.104230,5.718540,5.829800,4.697127,29264614
2013-07-03,5.807550,5.881720,5.666620,5.755630,4.637366,32090807
2013-07-04,5.852050,5.903970,5.792710,5.822380,4.691148,21106245
2013-07-05,5.785300,5.807550,5.562780,5.748210,4.631388,36858742
2013-07-08,5.711130,5.866880,5.651790,5.740790,4.625410,23280157
2013-07-10,5.822380,5.837220,5.733380,5.800130,4.673220,22926107
2013-07-11,5.829800,5.903970,5.755630,5.896550,4.750906,28978786
2013-07-12,5.844630,5.933640,5.785300,5.859470,4.721032,20897402
2013-07-15,5.859470,5.978140,5.829800,5.955890,4.798719,34295053
2013-07-16,6.007810,6.044890,5.903970,6.015220,4.846520,16604184
2013-07-17,6.000390,6.119060,5.992970,6.104230,4.918237,12192994
2013-07-18,6.067140,6.133900,6.015220,6.104230,4.918237,13610809
2013-07-19,6.059730,6.104230,6.030060,6.081980,4.900311,11248683
2013-07-22,6.052310,6.267400,6.015220,6.200650,4.995925,22909794
2013-07-23,6.245150,6.348990,6.222900,6.304490,5.079587,17845918
2013-07-24,6.282240,6.311910,6.126480,6.230320,5.019829,15295037
2013-07-25,6.185820,6.259990,6.148730,6.230320,5.019829,12533426
2013-07-26,null,null,null,null,null,null
2013-07-29,6.237740,6.311910,6.163570,6.230320,5.019829,12237216
2013-07-30,6.274820,6.430580,6.230320,6.245150,5.031777,24294307
2013-07-31,6.230320,6.319320,6.185820,6.208070,5.001900,22301600
2013-08-01,6.252570,6.438000,6.252570,6.408330,5.163253,25824970
2013-08-02,6.363830,6.460250,6.341570,6.415750,5.169232,20073220
2013-08-05,6.378660,6.400910,6.267400,6.334160,5.103494,13993711
2013-08-06,6.297070,6.311910,6.104230,6.148730,4.954091,26205445
2013-08-07,6.052310,6.104230,6.000390,6.089400,4.906289,31497039
2013-08-08,6.111650,6.267400,6.052310,6.237740,5.025808,17770147
2013-08-09,6.267400,6.297070,6.156150,6.267400,5.049705,20978971
2013-08-12,6.297070,6.482500,6.289660,6.408330,5.163253,25189272
2013-08-13,6.423160,6.482500,6.348990,6.467660,5.211055,23917472
2013-08-14,6.415750,6.467660,6.348990,6.363830,5.127399,32254619
2013-08-15,6.289660,6.341570,6.193230,6.341570,5.109463,22230143
2013-08-16,6.304490,6.319320,6.133900,6.230320,5.019829,26411727
2013-08-19,6.170980,6.200650,6.067140,6.156150,4.960070,18478784
2013-08-20,6.119060,6.222900,6.067140,6.104230,4.918237,19173940
2013-08-21,6.074560,6.126480,5.985560,6.081980,4.900311,26966665
2013-08-22,6.119060,6.141310,6.007810,6.081980,4.900311,21349739
2013-08-23,6.096810,6.289660,6.067140,6.289660,5.067640,17244061
2013-08-26,6.267400,6.282240,6.081980,6.111650,4.924216,19386693
2013-08-27,6.052310,6.081980,5.948470,6.007810,4.840550,16070278
2013-08-28,6.015220,6.074560,5.948470,6.022640,4.852499,15280611
2013-08-29,6.052310,6.170980,6.030060,6.067140,4.888353,14041978
2013-08-30,6.052310,6.208070,6.030060,6.208070,5.001900,21086157
2013-09-02,6.289660,6.378660,6.222900,6.252570,5.049958,16513177
2013-09-03,6.259990,6.289660,6.119060,6.126480,4.948120,21353244
2013-09-04,6.111650,6.178400,6.074560,6.141310,4.960099,17018634
