Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,8.350000,8.500000,8.190000,8.230000,8.230000,8910000
2017-09-26,8.320000,8.400000,8.240000,8.380000,8.380000,10423500
2017-09-27,8.380000,8.560000,8.310000,8.450000,8.450000,7283300
2017-09-28,8.450000,8.450000,8.130000,8.250000,8.250000,6882000
2017-09-29,8.300000,8.580000,8.200000,8.500000,8.500000,12582500
2017-10-02,8.500000,8.790000,8.500000,8.670000,8.670000,8209700
2017-10-03,8.600000,8.800000,8.590000,8.800000,8.800000,7930000
2017-10-04,8.710000,8.880000,8.670000,8.780000,8.780000,6386100
2017-10-05,8.800000,9.000000,8.750000,8.770000,8.770000,9437500
2017-10-06,8.660000,8.700000,8.510000,8.570000,8.570000,4968500
2017-10-09,8.560000,8.570000,8.310000,8.420000,8.420000,4024400
2017-10-10,8.500000,8.600000,8.450000,8.490000,8.490000,5169000
2017-10-11,8.520000,8.600000,8.450000,8.600000,8.600000,5643300
2017-10-12,8.600000,8.600000,8.600000,8.600000,8.600000,0
2017-10-13,8.640000,8.750000,8.550000,8.650000,8.650000,7206400
2017-10-16,8.660000,8.730000,8.520000,8.550000,8.550000,4118700
2017-10-17,8.570000,8.570000,8.250000,8.270000,8.270000,5310800
2017-10-18,8.280000,8.330000,7.970000,8.150000,8.150000,10090100
2017-10-19,8.110000,8.150000,7.980000,8.050000,8.050000,6891200
2017-10-20,8.000000,8.050000,7.910000,7.950000,7.950000,6920600
2017-10-23,8.000000,8.100000,7.760000,7.760000,7.760000,8600200
