Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,6.760000,6.780000,6.620000,6.690000,6.175842,3090000
2012-10-02,6.700000,6.750000,6.480000,6.610000,6.101991,3698600
2012-10-03,6.650000,6.650000,6.500000,6.500000,6.000444,2078300
2012-10-04,6.510000,6.640000,6.380000,6.490000,5.991213,3544900
2012-10-05,6.530000,6.770000,6.520000,6.590000,6.083529,2833800
2012-10-08,6.580000,6.880000,6.480000,6.820000,6.295851,2796400
2012-10-09,6.900000,6.960000,6.620000,6.690000,6.175842,4195400
2012-10-10,6.730000,6.770000,6.530000,6.540000,6.037371,2027400
2012-10-11,6.620000,6.850000,6.590000,6.750000,6.231231,3150000
2012-10-15,6.750000,6.820000,6.630000,6.710000,6.194305,1846600
2012-10-16,6.750000,6.840000,6.740000,6.780000,6.258925,1945100
2012-10-17,6.770000,6.820000,6.630000,6.700000,6.185073,6993200
2012-10-18,6.700000,6.990000,6.700000,6.920000,6.388165,6300200
2012-10-19,6.930000,6.970000,6.720000,6.800000,6.277388,4015700
2012-10-22,6.800000,6.890000,6.730000,6.850000,6.323545,2355800
2012-10-23,6.750000,6.890000,6.450000,6.500000,6.000444,3030300
2012-10-24,6.520000,6.630000,6.340000,6.460000,5.963519,2994800
2012-10-25,6.460000,6.630000,6.430000,6.550000,6.046603,2729200
2012-10-26,6.510000,6.650000,6.420000,6.650000,6.138917,1457300
2012-10-29,6.590000,6.700000,6.500000,6.640000,6.129685,982200
2012-10-30,6.720000,6.730000,6.530000,6.660000,6.148148,1034500
2012-10-31,6.660000,6.660000,6.510000,6.570000,6.065065,1671200
2012-11-01,6.570000,6.920000,6.550000,6.890000,6.360471,1708600
2012-11-05,6.890000,6.890000,6.640000,6.690000,6.175842,1908800
2012-11-06,6.730000,6.880000,6.640000,6.820000,6.295851,2487500
2012-11-07,6.780000,6.820000,6.680000,6.700000,6.185073,1113400
2012-11-08,6.740000,6.880000,6.610000,6.640000,6.129685,1593800
2012-11-09,6.690000,6.800000,6.560000,6.570000,6.065065,1531500
2012-11-12,6.620000,6.660000,6.500000,6.520000,6.018908,1095000
2012-11-13,6.500000,6.600000,6.310000,6.530000,6.028140,2089200
2012-11-14,6.740000,6.790000,6.310000,6.330000,5.843510,5269700
2012-11-16,6.330000,6.370000,5.900000,6.050000,5.585030,4585500
2012-11-19,6.150000,6.290000,6.090000,6.230000,5.751195,3168000
2012-11-21,6.230000,6.290000,6.020000,6.100000,5.631186,2756600
2012-11-22,6.150000,6.160000,5.940000,5.950000,5.492714,1766400
2012-11-23,5.990000,6.130000,5.840000,6.100000,5.631186,3009900
2012-11-26,6.060000,6.060000,5.800000,5.800000,5.354243,3441200
2012-11-27,5.850000,6.000000,5.830000,5.940000,5.483483,3221300
2012-11-28,5.850000,5.960000,5.770000,5.860000,5.409632,2854800
2012-11-29,5.900000,5.960000,5.630000,5.660000,5.225003,4212300
2012-11-30,5.700000,5.720000,5.390000,5.410000,4.994216,6612600
2012-12-03,5.480000,5.670000,5.470000,5.580000,5.151151,4586300
2012-12-04,5.590000,5.790000,5.500000,5.640000,5.206540,4892100
2012-12-05,5.730000,5.730000,5.160000,5.260000,4.855744,8077900
2012-12-06,5.360000,5.610000,5.220000,5.600000,5.169614,4472200
2012-12-07,5.540000,5.650000,5.400000,5.620000,5.188076,5243900
2012-12-10,5.500000,5.830000,5.500000,5.830000,5.381938,4788800
2012-12-11,5.800000,5.800000,5.580000,5.670000,5.234234,4652100
2012-12-12,5.690000,5.760000,5.540000,5.540000,5.114225,6244800
2012-12-13,5.570000,5.900000,5.540000,5.840000,5.391169,6894000
2012-12-14,5.860000,6.040000,5.720000,5.950000,5.492714,5895200
2012-12-17,5.910000,5.930000,5.710000,5.710000,5.271160,2490500
2012-12-18,5.720000,5.940000,5.720000,5.890000,5.437325,3164900
2012-12-19,5.850000,6.020000,5.850000,5.910000,5.455789,3449400
2012-12-20,5.940000,6.080000,5.850000,6.070000,5.603493,4577100
2012-12-21,5.940000,6.010000,5.860000,5.930000,5.474251,3273200
2012-12-26,5.930000,5.970000,5.870000,5.950000,5.492714,1523400
2012-12-27,5.990000,6.040000,5.910000,6.040000,5.575799,2366400
2012-12-28,5.950000,6.040000,5.890000,6.000000,5.538872,4061100
2013-01-02,6.000000,6.200000,6.000000,6.140000,5.668113,3411900
2013-01-03,6.100000,6.330000,6.030000,6.200000,5.723501,3227500
2013-01-04,6.190000,6.410000,6.160000,6.390000,5.898899,4645700
2013-01-07,6.350000,6.480000,6.050000,6.110000,5.640419,3204700
2013-01-08,6.150000,6.210000,6.070000,6.110000,5.640419,1684200
2013-01-09,6.110000,6.320000,6.060000,6.220000,5.741963,2657900
2013-01-10,6.270000,6.310000,6.140000,6.290000,5.806584,4189900
2013-01-11,6.290000,6.320000,6.210000,6.250000,5.769658,1743400
2013-01-14,6.300000,6.360000,6.210000,6.260000,5.778890,1501700
2013-01-15,6.300000,6.370000,6.210000,6.250000,5.769658,1887200
2013-01-16,6.250000,6.400000,6.250000,6.400000,5.908130,2537500
2013-01-17,6.400000,6.860000,6.370000,6.830000,6.305082,5406600
2013-01-18,6.920000,7.130000,6.850000,7.100000,6.554332,7886300
2013-01-21,7.060000,7.260000,6.980000,7.090000,6.545101,4279400
2013-01-22,7.100000,7.130000,6.920000,7.090000,6.545101,5719700
2013-01-23,7.020000,7.440000,6.850000,7.360000,6.794350,4061200
2013-01-24,7.390000,7.750000,7.320000,7.590000,7.006673,5854300
2013-01-28,7.590000,7.800000,7.390000,7.610000,7.025136,4671200
2013-01-29,7.640000,7.800000,7.510000,7.730000,7.135913,5580500
2013-01-30,7.740000,7.850000,7.440000,7.500000,6.923590,3789500
2013-01-31,7.580000,7.750000,7.410000,7.630000,7.043599,4535700
2013-02-01,7.600000,7.700000,7.400000,7.470000,6.895895,4327800
2013-02-04,7.460000,7.530000,7.360000,7.400000,6.831275,3772500
2013-02-05,7.400000,7.660000,7.400000,7.530000,6.951284,3211300
2013-02-06,7.570000,7.580000,7.270000,7.350000,6.785118,2624300
2013-02-07,7.370000,7.450000,7.160000,7.270000,6.711267,3505700
2013-02-08,7.200000,7.420000,7.050000,7.080000,6.535869,3973600
2013-02-13,7.080000,7.400000,7.080000,7.310000,6.748192,4588700
2013-02-14,7.340000,7.390000,7.200000,7.250000,6.692804,3656100
2013-02-15,7.210000,7.390000,7.170000,7.300000,6.738961,6983000
2013-02-18,7.370000,7.540000,7.280000,7.450000,6.877432,3691400
2013-02-19,7.360000,7.540000,7.100000,7.160000,6.609721,4329600
2013-02-20,7.200000,7.280000,6.890000,6.920000,6.388165,7818100
