Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-02,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-03,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-04,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-05,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-08,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-09,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-10,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-11,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-15,1.925000,2.187500,1.925000,2.187500,1.619628,343
2012-10-16,2.187500,2.187500,2.187500,2.187500,1.619628,0
2012-10-17,2.870000,2.870000,2.870000,2.870000,2.124952,16
2012-10-18,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-19,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-22,1.925000,1.925000,1.925000,1.925000,1.425273,0
2012-10-23,3.246250,3.500000,3.246250,3.500000,2.591405,49
2012-10-24,3.500000,3.500000,3.500000,3.500000,2.591405,16
2012-10-25,3.937500,3.937500,3.937500,3.937500,2.915330,16
2012-10-26,4.112500,4.112500,4.112500,4.112500,3.044901,33
2012-10-29,4.112500,4.112500,4.112500,4.112500,3.044901,0
2012-10-30,4.366250,4.366250,4.366250,4.366250,3.232777,327
2012-10-31,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-01,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-05,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-06,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-07,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-08,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-09,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-12,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-13,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-14,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-16,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-19,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-21,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-22,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-23,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-26,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-27,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-28,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-29,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-11-30,4.366250,4.366250,4.366250,4.366250,3.232777,327
2012-12-03,4.366250,4.366250,4.366250,4.366250,3.232777,0
2012-12-04,4.366250,4.366250,4.366250,4.366250,3.232777,81
2012-12-05,5.056250,5.161250,5.005000,5.112500,3.785303,4265600
2012-12-06,5.183750,5.397500,5.125000,5.397500,3.996316,11405600
2012-12-07,5.373750,5.531250,5.336250,5.468750,4.049069,8202400
2012-12-10,5.497500,5.500000,5.357500,5.375000,3.979659,5569600
2012-12-11,5.397500,5.408750,5.262500,5.350000,3.961147,5729600
2012-12-12,5.336250,5.375000,5.277500,5.375000,3.979659,3867200
2012-12-13,5.253750,5.445000,5.253750,5.412500,4.007422,6415200
2012-12-14,5.373750,5.500000,5.336250,5.437500,4.025933,1723200
2012-12-17,5.491250,5.635000,5.376250,5.625000,4.164758,4414400
2012-12-18,5.625000,5.815000,5.601250,5.800000,4.294329,12344000
2012-12-19,5.772500,5.826250,5.631250,5.812500,4.303583,9903200
2012-12-20,5.813750,5.937500,5.711250,5.810000,4.301732,7353600
2012-12-21,5.753750,5.841250,5.671250,5.781250,4.280445,5553600
2012-12-26,5.781250,5.800000,5.687500,5.687500,4.211033,1620000
2012-12-27,5.625000,5.783750,5.606250,5.637500,4.174011,2300800
2012-12-28,5.637500,5.781250,5.625000,5.781250,4.280445,4268800
2013-01-02,5.781250,5.936250,5.627500,5.687500,4.211033,2392000
2013-01-03,5.712500,5.712500,5.490000,5.550000,4.109227,4185600
2013-01-04,5.536250,5.737500,5.440000,5.737500,4.248052,4909600
2013-01-07,5.686250,5.750000,5.633750,5.737500,4.248052,2370400
2013-01-08,5.687500,5.745000,5.487500,5.500000,4.072207,8401600
2013-01-09,5.560000,5.636250,5.495000,5.540000,4.101824,13913600
2013-01-10,5.695000,5.695000,5.487500,5.625000,4.164758,5908000
2013-01-11,5.600000,5.737500,5.591250,5.698750,4.219363,5255200
2013-01-14,5.673750,5.681250,5.328750,5.388750,3.989837,93581600
