Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,10.513300,10.893300,10.473300,10.800000,10.409251,3037650
2012-10-02,10.746700,11.120000,10.746700,11.066700,10.666299,2712600
2012-10-03,11.126700,11.233300,11.020000,11.100000,10.698397,2923950
2012-10-04,11.133300,11.433300,10.960000,11.173300,10.769044,3105300
2012-10-05,11.240000,11.546700,11.220000,11.300000,10.891160,3597450
2012-10-08,11.313300,11.793300,11.286700,11.733300,11.308783,2825400
2012-10-09,11.800000,11.800000,11.260000,11.466700,11.051827,2176800
2012-10-10,11.253300,11.566700,11.246700,11.506700,11.090379,1909500
2012-10-11,11.560000,11.786700,11.560000,11.753300,11.328059,2180550
2012-10-15,11.753300,12.026700,11.680000,11.993300,11.559376,2068650
2012-10-16,11.986700,12.146700,11.713300,11.813300,11.385889,1932900
2012-10-17,11.906700,12.066700,11.780000,11.866700,11.437356,2750100
2012-10-18,11.833300,11.920000,11.620000,11.786700,11.360250,2070450
2012-10-19,11.780000,11.880000,11.373300,11.600000,11.180306,2581350
2012-10-22,11.600000,11.780000,11.406700,11.640000,11.218859,1418700
2012-10-23,11.480000,11.653300,11.386700,11.500000,11.083923,1552800
2012-10-24,11.513300,11.600000,11.326700,11.433300,11.019638,1195050
2012-10-25,11.626700,11.626700,11.000000,11.080000,10.679119,2902050
2012-10-26,10.933300,11.380000,10.886700,11.380000,10.968266,1556700
2012-10-29,11.200000,11.400000,11.200000,11.346700,10.936170,860850
2012-10-30,null,null,null,null,null,null
2012-10-31,null,null,null,null,null,null
2012-11-01,null,null,null,null,null,null
2012-11-05,null,null,null,null,null,null
2012-11-06,null,null,null,null,null,null
2012-11-07,null,null,null,null,null,null
2012-11-08,null,null,null,null,null,null
2012-11-09,null,null,null,null,null,null
2012-11-12,null,null,null,null,null,null
2012-11-13,null,null,null,null,null,null
2012-11-14,null,null,null,null,null,null
2012-11-16,null,null,null,null,null,null
2012-11-19,null,null,null,null,null,null
2012-11-21,null,null,null,null,null,null
2012-11-22,null,null,null,null,null,null
2012-11-23,null,null,null,null,null,null
2012-11-26,null,null,null,null,null,null
2012-11-27,null,null,null,null,null,null
2012-11-28,null,null,null,null,null,null
2012-11-29,null,null,null,null,null,null
2012-11-30,null,null,null,null,null,null
2012-12-03,null,null,null,null,null,null
2012-12-04,null,null,null,null,null,null
2012-12-05,null,null,null,null,null,null
2012-12-06,null,null,null,null,null,null
2012-12-07,null,null,null,null,null,null
2012-12-10,null,null,null,null,null,null
2012-12-11,null,null,null,null,null,null
2012-12-12,null,null,null,null,null,null
2012-12-13,null,null,null,null,null,null
2012-12-14,null,null,null,null,null,null
2012-12-17,null,null,null,null,null,null
2012-12-18,null,null,null,null,null,null
2012-12-19,null,null,null,null,null,null
2012-12-20,null,null,null,null,null,null
2012-12-21,null,null,null,null,null,null
2012-12-26,null,null,null,null,null,null
2012-12-27,null,null,null,null,null,null
2012-12-28,null,null,null,null,null,null
2013-01-02,null,null,null,null,null,null
2013-01-03,null,null,null,null,null,null
2013-01-04,null,null,null,null,null,null
2013-01-07,null,null,null,null,null,null
2013-01-08,null,null,null,null,null,null
2013-01-09,null,null,null,null,null,null
2013-01-10,null,null,null,null,null,null
2013-01-11,null,null,null,null,null,null
2013-01-14,null,null,null,null,null,null
2013-01-15,null,null,null,null,null,null
2013-01-16,null,null,null,null,null,null
2013-01-17,null,null,null,null,null,null
2013-01-18,null,null,null,null,null,null
2013-01-21,null,null,null,null,null,null
2013-01-22,null,null,null,null,null,null
2013-01-23,null,null,null,null,null,null
2013-01-24,null,null,null,null,null,null
2013-01-28,null,null,null,null,null,null
2013-01-29,null,null,null,null,null,null
2013-01-30,null,null,null,null,null,null
2013-01-31,null,null,null,null,null,null
2013-02-01,null,null,null,null,null,null
2013-02-04,null,null,null,null,null,null
2013-02-05,null,null,null,null,null,null
2013-02-06,null,null,null,null,null,null
2013-02-07,null,null,null,null,null,null
2013-02-08,null,null,null,null,null,null
2013-02-13,null,null,null,null,null,null
2013-02-14,null,null,null,null,null,null
2013-02-15,null,null,null,null,null,null
2013-02-18,null,null,null,null,null,null
2013-02-19,null,null,null,null,null,null
2013-02-20,null,null,null,null,null,null
2013-02-21,null,null,null,null,null,null
2013-02-22,null,null,null,null,null,null
2013-02-25,null,null,null,null,null,null
2013-02-26,null,null,null,null,null,null
2013-02-27,null,null,null,null,null,null
2013-02-28,null,null,null,null,null,null
2013-03-01,null,null,null,null,null,null
2013-03-04,11.873300,11.913300,11.600000,11.820000,11.392344,2919000
2013-03-05,11.840000,12.220000,11.606700,11.673300,11.250954,2856900
2013-03-06,11.833300,12.153300,11.733300,11.913300,11.482270,2739900
2013-03-07,12.053300,12.133300,11.733300,11.933300,11.501548,2357550
2013-03-08,12.166700,12.320000,11.933300,12.166700,11.726503,4669650
2013-03-11,12.153300,12.246700,12.006700,12.066700,11.630120,2057550
2013-03-12,12.133300,12.180000,11.980000,12.006700,11.572290,1652700
2013-03-13,12.013300,12.493300,12.006700,12.380000,11.932085,4741200
2013-03-14,12.446700,12.800000,12.253300,12.333300,11.887075,5146650
2013-03-15,12.360000,12.366700,11.946700,12.020000,11.585110,3546600
2013-03-18,11.920000,12.106700,11.813300,11.820000,11.455371,2034300
2013-03-19,11.920000,12.106700,11.713300,11.766700,11.403717,3117900
2013-03-20,11.766700,11.900000,11.573300,11.666700,11.306803,5270700
2013-03-21,11.653300,11.866700,11.353300,11.500000,11.145243,1957650
2013-03-22,11.606700,11.826700,11.353300,11.400000,11.048329,2976300
2013-03-25,11.393300,11.600000,11.240000,11.366700,11.016058,2574750
2013-03-26,11.420000,11.653300,11.366700,11.506700,11.151738,2248650
2013-03-27,11.466700,11.600000,11.353300,11.566700,11.209887,2267550
2013-03-28,null,null,null,null,null,null
2013-04-01,11.580000,11.693300,11.386700,11.446700,11.093590,2211900
2013-04-02,11.580000,11.760000,11.233300,11.260000,10.912647,3427200
2013-04-03,11.320000,11.640000,11.026700,11.533300,11.177517,4105500
2013-04-04,11.446700,11.760000,11.333300,11.433300,11.080604,3317850
2013-04-05,11.366700,11.820000,11.273300,11.740000,11.377840,2540550
2013-04-08,11.613300,11.900000,11.606700,11.866700,11.500631,1800900
2013-04-09,11.846700,11.953300,11.700000,11.933300,11.565178,3606450
2013-04-10,12.046700,12.120000,11.926700,12.000000,11.629821,2014500
2013-04-11,12.060000,12.060000,11.466700,11.500000,11.145243,6701550
2013-04-12,11.526700,11.646700,11.273300,11.420000,11.067711,2254800
2013-04-15,11.273300,11.486700,11.053300,11.060000,10.718817,3881700
2013-04-16,11.200000,11.433300,11.046700,11.266700,10.919141,2795550
2013-04-17,11.066700,11.520000,11.066700,11.200000,10.854497,4947600
2013-04-18,11.200000,11.446700,11.160000,11.226700,10.880375,2691150
2013-04-19,11.340000,11.380000,11.166700,11.286700,10.938524,1904700
2013-04-22,11.206700,11.553300,11.200000,11.553300,11.196899,2286300
2013-04-23,11.506700,11.726700,11.413300,11.633300,11.274433,2920950
2013-04-24,11.620000,11.773300,11.546700,11.746700,11.384336,2389650
2013-04-25,11.666700,11.866700,11.533300,11.673300,11.313197,3797400
2013-04-26,null,null,null,null,null,null
2013-04-29,11.546700,11.666700,11.326700,11.433300,11.080604,2442150
2013-04-30,11.520000,11.820000,11.306700,11.820000,11.455371,3129150
2013-05-02,11.686700,11.866700,11.413300,11.460000,11.106480,3278550
2013-05-03,11.600000,11.700000,11.400000,11.446700,11.093590,4338000
2013-05-06,11.486700,11.513300,11.386700,11.493300,11.138752,2827350
2013-05-07,11.493300,11.706700,11.353300,11.666700,11.306803,2505150
2013-05-08,11.700000,11.700000,11.466700,11.546700,11.190501,1675500
2013-05-09,11.546700,11.726700,11.400000,11.640000,11.280925,1668000
2013-05-10,11.666700,11.846700,11.460000,11.600000,11.242159,3758700
2013-05-13,11.480000,11.600000,11.306700,11.326700,10.977289,2337450
2013-05-14,11.413300,11.633300,11.253300,11.453300,11.099983,2625000
2013-05-15,11.373300,11.706700,11.353300,11.573300,11.216285,2950350
2013-05-16,11.573300,11.593300,11.400000,11.513300,11.158134,2066250
2013-05-17,11.593300,11.660000,11.373300,11.660000,11.300308,3163650
2013-05-20,11.593300,11.786700,11.373300,11.766700,11.403717,2616750
2013-05-21,11.706700,11.966700,11.700000,11.966700,11.597548,1953600
2013-05-22,11.966700,12.113300,11.840000,11.893300,11.526411,4631100
2013-05-23,11.800000,11.933300,11.680000,11.860000,11.494139,2501250
2013-05-24,11.833300,12.020000,11.713300,11.906700,11.539399,2208600
2013-05-27,11.980000,12.060000,11.740000,11.833300,11.468260,1086900
2013-05-28,11.900000,11.933300,11.820000,11.900000,11.532906,1476300
2013-05-29,11.806700,11.866700,11.500000,11.573300,11.216285,3151950
