Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,34.799999,34.919998,33.709999,34.500000,34.500000,1992300
2017-09-26,34.400002,35.130001,34.259998,34.720001,34.720001,2812600
2017-09-27,34.500000,34.709999,34.020000,34.500000,34.500000,3251800
2017-09-28,34.549999,35.360001,34.430000,35.009998,35.009998,3006600
2017-09-29,35.049999,36.380001,35.000000,36.060001,36.060001,2407900
2017-10-02,36.080002,36.750000,35.439999,36.099998,36.099998,2311000
2017-10-03,36.040001,37.419998,36.020000,37.299999,37.299999,2707700
2017-10-04,37.430000,37.970001,37.209999,37.330002,37.330002,2713500
2017-10-05,37.840000,38.200001,36.939999,37.090000,37.090000,2907700
2017-10-06,36.889999,37.150002,36.730000,37.009998,37.009998,2031400
2017-10-09,36.810001,37.080002,36.520000,37.049999,37.049999,1612400
2017-10-10,37.439999,37.650002,37.070000,37.380001,37.380001,1943700
2017-10-11,37.560001,37.599998,37.009998,37.090000,37.090000,1973700
2017-10-12,37.090000,37.090000,37.090000,37.090000,37.090000,0
2017-10-13,37.080002,37.240002,36.270000,36.799999,36.799999,3750200
2017-10-16,37.200001,37.200001,36.119999,36.389999,36.389999,2288700
2017-10-17,36.389999,36.849998,35.840000,35.950001,35.950001,2430800
2017-10-18,36.049999,37.650002,36.049999,37.500000,37.500000,4007000
2017-10-19,37.200001,37.330002,36.060001,36.740002,36.740002,2607600
2017-10-20,36.849998,37.450001,36.700001,36.900002,36.900002,1788500
2017-10-23,36.939999,37.480000,35.619999,36.169998,36.169998,2078800
