Date,Open,High,Low,Close,Adj Close,Volume
2012-10-24,12.200000,12.240000,12.030000,12.120000,11.011426,299900
2012-10-25,12.070000,12.110000,11.580000,11.870000,10.784292,330700
2012-10-26,11.880000,11.880000,11.370000,11.410000,10.366367,251300
2012-10-29,11.670000,11.670000,11.380000,11.410000,10.366367,183000
2012-10-30,11.460000,11.590000,11.120000,11.300000,10.266429,312000
2012-10-31,11.150000,11.470000,11.000000,11.310000,10.275514,359800
2012-11-01,11.280000,11.610000,11.110000,11.500000,10.448134,494700
2012-11-05,11.500000,11.810000,11.500000,11.700000,10.629841,351000
2012-11-06,11.800000,11.800000,11.450000,11.770000,10.693439,534700
2012-11-07,11.770000,11.770000,11.380000,11.410000,10.366367,515700
2012-11-08,11.410000,11.600000,11.230000,11.400000,10.357281,406000
2012-11-09,11.300000,11.350000,11.110000,11.190000,10.166491,251600
2012-11-12,11.110000,11.200000,10.700000,10.850000,9.857588,434000
2012-11-13,10.600000,10.880000,10.310000,10.700000,9.721308,762700
2012-11-14,10.690000,10.880000,10.600000,10.680000,9.703137,406400
2012-11-16,10.680000,10.820000,10.550000,10.580000,9.612285,247200
2012-11-19,10.630000,10.730000,10.430000,10.500000,9.539601,200500
2012-11-21,10.500000,10.860000,10.410000,10.510000,9.548687,413600
2012-11-22,10.690000,10.750000,10.440000,10.450000,9.494174,189500
2012-11-23,10.460000,10.850000,10.380000,10.700000,9.721308,286600
2012-11-26,10.680000,10.850000,10.500000,10.820000,9.830332,237100
2012-11-27,10.870000,10.880000,10.610000,10.670000,9.694053,332100
2012-11-28,10.570000,10.610000,10.450000,10.500000,9.539601,244200
2012-11-29,10.590000,11.250000,10.530000,11.050000,10.039296,439600
2012-11-30,11.250000,11.340000,10.980000,11.250000,10.221002,400300
2012-12-03,11.400000,11.600000,11.250000,11.470000,10.420878,592000
2012-12-04,11.490000,11.680000,11.270000,11.380000,10.339111,371100
2012-12-05,11.410000,11.450000,10.920000,11.000000,9.993869,359900
2012-12-06,11.200000,11.350000,10.930000,11.130000,10.111978,440400
2012-12-07,11.060000,11.450000,11.000000,11.400000,10.357281,301700
2012-12-10,11.430000,11.590000,11.230000,11.460000,10.411795,251600
2012-12-11,11.360000,11.550000,11.050000,11.350000,10.311855,423600
2012-12-12,11.200000,11.340000,11.100000,11.310000,10.275514,344900
2012-12-13,11.270000,11.500000,11.190000,11.300000,10.266429,444300
2012-12-14,11.280000,12.030000,11.220000,11.950000,10.856975,834300
2012-12-17,12.000000,12.280000,11.780000,12.120000,11.011426,562300
2012-12-18,12.070000,12.340000,12.070000,12.130000,11.020512,421000
2012-12-19,12.140000,12.190000,12.000000,12.020000,10.920573,201900
2012-12-20,11.910000,12.540000,11.910000,12.330000,11.202218,823500
2012-12-21,11.900000,12.300000,11.900000,12.010000,10.911488,356800
2012-12-26,12.010000,12.480000,11.930000,12.420000,11.283986,237600
2012-12-27,12.380000,12.420000,12.080000,12.200000,11.084108,352100
2012-12-28,12.050000,12.300000,12.050000,12.150000,11.038682,646500
2013-01-02,12.150000,12.880000,12.150000,12.850000,11.674656,738200
2013-01-03,12.790000,13.680000,12.770000,13.380000,12.156178,961800
2013-01-04,13.450000,13.520000,13.110000,13.300000,12.083496,554900
2013-01-07,13.100000,13.220000,12.760000,12.990000,11.801849,722200
2013-01-08,13.000000,13.150000,12.730000,12.900000,11.720081,873300
2013-01-09,12.900000,13.090000,12.680000,12.700000,11.538374,639100
2013-01-10,12.750000,12.990000,12.690000,12.850000,11.674656,1054900
2013-01-11,12.930000,12.930000,12.570000,12.610000,11.456607,906500
2013-01-14,12.850000,13.110000,12.630000,12.960000,11.774595,593300
2013-01-15,12.850000,13.140000,12.630000,12.950000,11.765508,222700
2013-01-16,12.950000,12.970000,12.570000,12.700000,11.538374,334100
2013-01-17,12.650000,12.850000,12.400000,12.400000,11.265816,848000
2013-01-18,12.380000,12.460000,12.040000,12.220000,11.102280,1287300
2013-01-21,12.230000,12.280000,11.870000,12.150000,11.038682,418300
2013-01-22,12.100000,12.160000,11.830000,11.870000,10.784292,476500
2013-01-23,12.100000,12.160000,11.670000,11.760000,10.684353,1314800
2013-01-24,11.790000,11.990000,11.350000,11.500000,10.448134,1711100
2013-01-28,11.500000,11.840000,11.490000,11.750000,10.675268,391100
2013-01-29,11.920000,12.160000,11.720000,12.020000,10.920573,861800
2013-01-30,12.020000,12.090000,11.800000,11.800000,10.720695,733000
2013-01-31,11.830000,12.050000,11.410000,12.000000,10.902401,782200
2013-02-01,12.000000,12.850000,11.980000,12.560000,11.411181,936800
2013-02-04,12.360000,12.840000,12.360000,12.590000,11.438437,671600
2013-02-05,12.530000,12.730000,11.750000,11.840000,10.757036,1584100
2013-02-06,11.850000,11.890000,11.380000,11.480000,10.429965,705500
2013-02-07,11.470000,11.810000,11.390000,11.420000,10.375452,1012200
2013-02-08,11.600000,11.660000,11.170000,11.300000,10.266429,368300
2013-02-13,11.300000,11.470000,11.040000,11.130000,10.111978,339800
2013-02-14,11.040000,11.330000,11.040000,11.260000,10.230086,247100
2013-02-15,11.110000,11.300000,10.910000,10.910000,9.912101,430300
2013-02-18,10.900000,11.120000,10.590000,10.650000,9.675881,407700
2013-02-19,10.690000,11.150000,10.630000,11.000000,9.993869,317000
2013-02-20,11.150000,11.150000,10.400000,10.630000,9.657710,792200
2013-02-21,10.780000,10.860000,10.510000,10.750000,9.766735,622200
2013-02-22,10.800000,10.970000,10.610000,10.790000,9.803075,358900
2013-02-25,10.840000,10.950000,10.600000,10.630000,9.657710,557900
2013-02-26,10.580000,10.670000,10.510000,10.530000,9.566857,274500
2013-02-27,10.500000,10.640000,10.200000,10.280000,9.339725,704000
2013-02-28,10.410000,10.410000,9.900000,10.140000,9.212530,5196100
2013-03-01,10.000000,10.020000,9.880000,9.950000,9.039907,730100
2013-03-04,9.960000,9.980000,9.410000,9.470000,8.603812,1285500
2013-03-05,9.670000,10.010000,9.470000,9.700000,8.812775,900700
2013-03-06,9.850000,9.880000,9.620000,9.750000,8.858203,459300
2013-03-07,9.760000,9.870000,9.350000,9.500000,8.631068,1148500
2013-03-08,9.540000,9.580000,9.380000,9.410000,8.549299,468900
2013-03-11,9.470000,9.750000,9.430000,9.640000,8.758264,389900
2013-03-12,9.700000,9.940000,9.700000,9.850000,8.949055,610100
2013-03-13,9.820000,9.850000,9.390000,9.420000,8.558385,806100
2013-03-14,9.460000,9.680000,9.430000,9.560000,8.685580,449300
2013-03-15,9.630000,9.630000,9.170000,9.390000,8.531130,498900
2013-03-18,9.400000,9.480000,9.170000,9.210000,8.367594,437700
2013-03-19,9.400000,9.480000,9.100000,9.150000,8.313080,247800
2013-03-20,9.220000,9.220000,9.100000,9.120000,8.285825,237200
2013-03-21,9.160000,9.260000,8.980000,9.260000,8.413020,533900
2013-03-22,9.300000,9.360000,9.050000,9.150000,8.313080,478600
2013-03-25,9.160000,9.220000,9.110000,9.210000,8.367594,318800
2013-03-26,9.220000,9.240000,8.880000,8.900000,8.085948,774300
2013-03-27,8.950000,9.100000,8.770000,8.900000,8.085948,860700
2013-03-28,8.900000,9.170000,8.850000,9.160000,8.322166,326900
2013-04-01,8.900000,9.160000,8.900000,9.080000,8.249484,162600
2013-04-02,9.160000,9.380000,9.010000,9.350000,8.494789,495400
2013-04-03,9.360000,9.500000,9.210000,9.350000,8.494789,568400
