Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,6.750000,6.830000,6.550000,6.670000,6.670000,2885900
2017-09-26,6.710000,6.760000,6.600000,6.660000,6.660000,1480600
2017-09-27,6.670000,6.710000,6.520000,6.590000,6.590000,995800
2017-09-28,6.640000,6.640000,6.380000,6.390000,6.390000,1402900
2017-09-29,6.460000,6.530000,6.390000,6.470000,6.470000,1693500
2017-10-02,6.490000,6.560000,6.310000,6.420000,6.420000,3598100
2017-10-03,6.460000,6.730000,6.420000,6.670000,6.670000,2416000
2017-10-04,6.720000,6.780000,6.610000,6.720000,6.720000,1320500
2017-10-05,6.750000,6.850000,6.630000,6.630000,6.630000,1537700
2017-10-06,6.570000,6.760000,6.520000,6.700000,6.700000,1531100
2017-10-09,6.740000,6.740000,6.390000,6.390000,6.390000,2353200
2017-10-10,6.450000,6.560000,6.380000,6.440000,6.440000,1476500
2017-10-11,6.500000,6.630000,6.440000,6.630000,6.630000,1375200
2017-10-12,6.630000,6.630000,6.630000,6.630000,6.630000,0
2017-10-13,6.620000,6.650000,6.520000,6.610000,6.610000,991700
2017-10-16,6.650000,6.650000,6.430000,6.560000,6.560000,998000
2017-10-17,6.590000,6.600000,6.460000,6.500000,6.500000,1282800
2017-10-18,6.520000,6.570000,6.460000,6.520000,6.520000,1765000
2017-10-19,6.480000,6.480000,6.350000,6.370000,6.370000,1222600
2017-10-20,6.370000,6.440000,6.280000,6.390000,6.390000,1051600
2017-10-23,6.500000,6.550000,6.350000,6.350000,6.350000,2125200
