Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,4.650000,4.680000,4.350000,4.540000,4.540000,6000200
2017-09-26,4.540000,4.600000,4.490000,4.500000,4.500000,2793300
2017-09-27,4.470000,4.570000,4.420000,4.500000,4.500000,4627100
2017-09-28,4.520000,4.520000,4.270000,4.350000,4.350000,6862400
2017-09-29,4.390000,4.440000,4.290000,4.350000,4.350000,5966000
2017-10-02,4.380000,4.400000,4.280000,4.300000,4.300000,3251700
2017-10-03,4.300000,4.470000,4.290000,4.380000,4.380000,5498300
2017-10-04,4.380000,4.560000,4.370000,4.470000,4.470000,3160400
2017-10-05,4.540000,4.640000,4.520000,4.590000,4.590000,3803200
2017-10-06,4.600000,4.650000,4.480000,4.650000,4.650000,3905900
2017-10-09,4.700000,4.800000,4.600000,4.610000,4.610000,2137300
2017-10-10,4.650000,4.700000,4.500000,4.570000,4.570000,3065600
2017-10-11,4.540000,4.600000,4.420000,4.490000,4.490000,4875200
2017-10-12,4.490000,4.490000,4.490000,4.490000,4.490000,0
2017-10-13,4.530000,4.560000,4.360000,4.370000,4.370000,4757700
2017-10-16,4.370000,4.410000,4.150000,4.210000,4.210000,5779000
2017-10-17,4.170000,4.170000,4.010000,4.110000,4.110000,8140700
2017-10-18,4.120000,4.230000,4.100000,4.200000,4.200000,4452800
2017-10-19,4.220000,4.270000,4.110000,4.240000,4.240000,4320500
2017-10-20,4.300000,4.430000,4.290000,4.310000,4.310000,4847200
2017-10-23,4.320000,4.380000,4.260000,4.270000,4.270000,2225400
