Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,38.820000,39.610001,38.560001,38.910000,38.910000,561500
2017-09-26,39.009998,39.119999,37.380001,37.380001,37.380001,664000
2017-09-27,37.470001,37.680000,37.029999,37.410000,37.410000,492700
2017-09-28,37.419998,38.590000,37.000000,37.000000,37.000000,689300
2017-09-29,37.279999,38.049999,36.680000,37.669998,37.669998,927300
2017-10-02,37.669998,38.400002,37.220001,37.889999,37.889999,556600
2017-10-03,37.889999,38.520000,37.700001,38.000000,38.000000,646200
2017-10-04,38.180000,38.200001,37.689999,37.950001,37.950001,461000
2017-10-05,38.240002,38.900002,37.410000,37.830002,37.830002,407200
2017-10-06,37.000000,38.680000,36.490002,38.240002,38.240002,945100
2017-10-09,38.459999,38.459999,37.619999,38.000000,38.000000,492600
2017-10-10,38.209999,38.709999,38.060001,38.320000,38.320000,416400
2017-10-11,38.380001,39.119999,38.310001,38.779999,38.779999,1029600
2017-10-12,38.779999,38.779999,38.779999,38.779999,38.779999,0
2017-10-13,38.910000,39.160000,38.009998,38.380001,38.380001,508700
2017-10-16,38.549999,39.160000,38.110001,38.490002,38.490002,675000
2017-10-17,38.639999,38.720001,37.610001,37.700001,37.700001,912700
2017-10-18,37.889999,38.500000,37.889999,38.250000,38.250000,321200
2017-10-19,38.290001,38.639999,38.130001,38.459999,38.459999,341600
2017-10-20,38.650002,38.919998,38.450001,38.450001,38.450001,359500
2017-10-23,38.730000,38.740002,38.000000,38.060001,38.060001,243400
