Date,Open,High,Low,Close,Adj Close,Volume
2015-04-02,10.190900,12.701700,10.190900,12.701700,12.701700,3613105
2015-04-06,12.701700,13.661700,12.627900,12.849400,12.849400,2057909
2015-04-07,12.406300,12.480200,11.520200,11.667900,11.667900,3188012
2015-04-08,11.889400,11.963300,11.446300,11.520200,11.520200,2473117
2015-04-09,11.372500,12.480200,11.298600,12.037100,12.037100,3020274
2015-04-10,12.037100,12.332500,11.963300,12.332500,12.332500,3950410
2015-04-13,12.406300,12.627900,12.184800,12.554000,12.554000,3715817
2015-04-14,12.554000,12.627900,12.184800,12.554000,12.554000,2480037
2015-04-15,12.554000,12.627900,12.406300,12.406300,12.406300,2315007
2015-04-16,12.480200,12.775600,12.258600,12.554000,12.554000,2294275
2015-04-17,12.554000,12.627900,11.889400,12.406300,12.406300,2290281
2015-04-20,12.406300,12.480200,11.815600,12.037100,12.037100,1860840
2015-04-22,12.037100,12.480200,11.889400,12.184800,12.184800,1472268
2015-04-23,12.258600,12.258600,11.003200,11.003200,11.003200,3737930
2015-04-24,11.077100,11.372500,11.077100,11.150900,11.150900,1425144
2015-04-27,11.298600,11.298600,10.264800,10.412500,10.412500,3464136
2015-04-28,10.486300,10.560200,10.264800,10.338600,10.338600,1659479
2015-04-29,10.264800,10.338600,9.157060,9.378600,9.378600,7808737
2015-04-30,9.452450,9.895540,9.452450,9.600150,9.600150,2720994
2015-05-04,9.600150,10.338600,9.600150,10.043200,10.043200,2532862
2015-05-05,10.043200,10.190900,9.969380,10.117100,10.117100,1324639
2015-05-06,10.043200,10.117100,9.157060,9.452450,9.452450,4947684
2015-05-07,9.452450,9.600150,8.861670,9.083220,9.083220,1819268
2015-05-08,9.230910,9.304760,8.640130,9.230910,9.230910,2307844
2015-05-11,9.304760,9.378600,8.861670,9.009370,9.009370,2973556
2015-05-12,8.935520,9.304760,8.713980,9.157060,9.157060,5591729
2015-05-13,9.157060,9.230910,8.861670,8.861670,8.861670,3057431
2015-05-14,8.861670,9.600150,8.713980,9.452450,9.452450,4660862
2015-05-15,9.378600,10.117100,9.378600,9.895540,9.895540,2984267
2015-05-18,9.969380,10.264800,9.673990,9.969380,9.969380,3271508
2015-05-19,10.043200,10.043200,9.747840,9.969380,9.969380,1613749
2015-05-20,9.895540,9.969380,9.452450,9.526300,9.526300,2511115
