Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,7.040000,7.150000,6.810000,6.850000,6.850000,1060300
2017-09-26,6.860000,7.000000,6.710000,6.800000,6.800000,1182100
2017-09-27,6.790000,6.870000,6.530000,6.550000,6.550000,822400
2017-09-28,6.550000,6.640000,6.400000,6.410000,6.410000,1005000
2017-09-29,6.430000,6.980000,6.430000,6.920000,6.920000,2230100
2017-10-02,6.950000,7.150000,6.810000,7.120000,7.120000,1637800
2017-10-03,7.100000,7.420000,7.100000,7.370000,7.370000,2062600
2017-10-04,7.360000,7.890000,7.360000,7.600000,7.600000,2602700
2017-10-05,7.630000,7.810000,7.500000,7.520000,7.520000,1949800
2017-10-06,7.590000,7.660000,7.340000,7.450000,7.450000,1995300
2017-10-09,7.460000,7.670000,7.400000,7.620000,7.620000,1844400
2017-10-10,7.650000,8.040000,7.650000,7.950000,7.950000,4618200
2017-10-11,7.980000,8.050000,7.720000,7.800000,7.800000,1628000
2017-10-12,7.800000,7.800000,7.800000,7.800000,7.800000,0
2017-10-13,7.800000,7.860000,7.740000,7.800000,7.800000,626100
2017-10-16,7.750000,7.870000,7.510000,7.660000,7.660000,2070500
2017-10-17,7.650000,8.030000,7.480000,8.030000,8.030000,2220700
2017-10-18,8.030000,8.040000,7.880000,7.920000,7.920000,1440100
2017-10-19,7.930000,7.930000,7.600000,7.680000,7.680000,1539500
2017-10-20,7.750000,7.950000,7.750000,7.850000,7.850000,1590500
2017-10-23,7.950000,7.950000,7.610000,7.630000,7.630000,685200
