Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,null,null,null,null,null,null
2017-09-26,null,null,null,null,null,null
2017-09-27,null,null,null,null,null,null
2017-09-28,null,null,null,null,null,null
2017-09-29,null,null,null,null,null,null
2017-10-02,null,null,null,null,null,null
2017-10-03,null,null,null,null,null,null
2017-10-04,null,null,null,null,null,null
2017-10-05,null,null,null,null,null,null
2017-10-06,28.000000,28.889999,27.959999,28.780001,28.780001,2862500
2017-10-09,28.450001,29.360001,28.330000,29.160000,29.160000,2932200
2017-10-10,29.250000,30.320000,29.250000,30.270000,30.270000,2989100
2017-10-11,30.330000,30.670000,29.520000,29.700001,29.700001,2135100
2017-10-12,29.700001,29.700001,29.700001,29.700001,29.700001,0
2017-10-13,30.000000,30.180000,28.990000,29.870001,29.870001,2204100
2017-10-16,30.309999,31.600000,30.250000,31.049999,31.049999,4051700
2017-10-17,31.049999,31.490000,30.430000,30.570000,30.570000,1669800
2017-10-18,30.700001,30.980000,30.309999,30.570000,30.570000,2126700
2017-10-19,30.500000,30.629999,29.920000,30.190001,30.190001,1163900
2017-10-20,30.340000,30.440001,29.940001,30.049999,30.049999,2279000
2017-10-23,30.370001,30.370001,29.549999,30.049999,30.049999,1370900
