Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,70.559998,70.559998,69.000000,69.440002,69.440002,170700
2017-09-26,69.550003,69.989998,68.910004,69.199997,69.199997,154900
2017-09-27,69.230003,69.360001,67.099998,68.099998,68.099998,482000
2017-09-28,68.089996,68.550003,67.559998,67.750000,67.750000,642600
2017-09-29,68.000000,68.910004,67.330002,68.320000,68.320000,488900
2017-10-02,68.320000,68.709999,67.830002,68.000000,68.000000,223600
2017-10-03,68.000000,69.500000,68.000000,69.059998,69.059998,152800
2017-10-04,69.269997,69.290001,68.680000,69.089996,69.089996,206400
2017-10-05,69.040001,70.690002,69.040001,69.919998,69.919998,215600
2017-10-06,69.930000,70.580002,68.750000,70.000000,70.000000,219700
2017-10-09,70.199997,70.750000,68.339996,68.529999,68.529999,214100
2017-10-10,68.699997,70.870003,68.699997,69.209999,69.209999,392600
2017-10-11,69.449997,69.750000,68.489998,68.589996,68.589996,402800
2017-10-12,68.589996,68.589996,68.589996,68.589996,68.589996,0
2017-10-13,68.250000,69.379997,68.250000,68.449997,68.449997,217500
2017-10-16,68.389999,68.639999,68.000000,68.139999,68.139999,340200
2017-10-17,68.339996,68.650002,67.379997,67.889999,67.889999,310800
2017-10-18,68.360001,68.360001,67.709999,67.750000,67.750000,200400
2017-10-19,67.769997,68.370003,67.070000,67.830002,67.830002,501900
2017-10-20,68.199997,68.260002,67.309998,67.750000,67.750000,390300
2017-10-23,68.150002,68.680000,66.820000,67.500000,67.500000,607400
