Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,9.273080,9.273080,8.907690,9.184620,7.663461,461500
2012-10-02,9.173080,9.176920,8.942310,8.980770,7.493372,670540
2012-10-03,8.988460,9.034620,8.853850,8.934620,7.454865,370760
2012-10-04,8.930770,9.103850,8.861540,9.038460,7.541507,891800
2012-10-05,9.007690,9.038460,8.861540,8.923080,7.445237,308100
2012-10-08,8.923080,9.073080,8.884620,9.026920,7.531880,352560
2012-10-09,9.034620,9.034620,8.738460,9.034620,7.538304,338260
2012-10-10,8.930770,8.973080,8.834620,8.834620,7.371429,321620
2012-10-11,8.911540,9.026920,8.880770,9.026920,7.531880,170040
2012-10-15,9.026920,9.038460,8.884620,9.038460,7.541507,188240
2012-10-16,9.030770,9.069230,8.800000,8.807690,7.348958,1066780
2012-10-17,8.765380,8.869230,8.765380,8.846150,7.381049,273780
2012-10-18,8.842310,8.973080,8.823080,8.942310,7.461281,1144780
2012-10-19,8.896150,9.100000,8.892310,9.038460,7.541507,712400
2012-10-22,8.988460,9.011540,8.853850,8.853850,7.387472,153660
2012-10-23,8.919230,9.019230,8.850000,8.919230,7.442025,676260
2012-10-24,8.973080,9.026920,8.857690,8.884620,7.413146,714220
2012-10-25,8.903850,8.980770,8.846150,8.950000,7.467700,1501760
2012-10-26,8.915380,9.038460,8.900000,8.942310,7.461281,1203020
2012-10-29,9.034620,9.038460,8.819230,8.942310,7.461281,181480
2012-10-30,8.961540,9.000000,8.923080,8.950000,7.467700,508820
2012-10-31,8.957690,8.976920,8.903850,8.973080,7.486956,994500
2012-11-01,8.930770,9.076920,8.926920,9.000000,7.509418,704080
2012-11-05,9.000000,9.396150,8.942310,9.296150,7.756518,1865760
2012-11-06,9.296150,9.307690,9.130770,9.230770,7.701968,1298960
2012-11-07,9.230770,9.296150,9.126920,9.196150,7.673079,513240
2012-11-08,9.150000,9.219230,8.876920,9.076920,7.573597,1202760
2012-11-09,9.053850,9.084620,9.007690,9.038460,7.541507,5058300
2012-11-12,8.996150,9.153850,8.961540,9.030770,7.535092,259220
2012-11-13,8.992310,9.034620,8.961540,9.034620,7.538304,92820
2012-11-14,9.003850,9.053850,8.984620,9.038460,7.541507,625820
2012-11-16,9.034620,10.115400,8.984620,9.711540,8.103113,8685560
2012-11-19,9.538460,9.873080,9.530770,9.653850,8.054977,4430920
2012-11-21,9.653850,9.861540,9.546150,9.711540,8.103113,10458760
2012-11-22,9.730770,9.842310,9.650000,9.730770,8.119157,1727180
2012-11-23,9.803850,9.807690,9.573080,9.707690,8.099899,1969500
2012-11-26,9.642310,9.742310,9.611540,9.707690,8.099899,1920100
2012-11-27,9.730770,9.815380,9.665380,9.707690,8.099899,2585180
